date,currency_pair,direction,amount_yen_billions,source_url
1991-05-13,USD/JPY,sell_USD_buy_JPY,13.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1991-06-10,USD/JPY,sell_USD_buy_JPY,21.1,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1991-06-13,USD/JPY,sell_USD_buy_JPY,21.3,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1991-08-19,USD/DEM,sell_USD_buy_DEM,13.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-01-17,USD/JPY,sell_USD_buy_JPY,6.3,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-02-17,USD/JPY,sell_USD_buy_JPY,12.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-02-20,USD/JPY,sell_USD_buy_JPY,76.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-03-04,USD/JPY,sell_USD_buy_JPY,13.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-03-11,USD/JPY,sell_USD_buy_JPY,24.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-04-01,USD/JPY,sell_USD_buy_JPY,36.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-04-27,USD/JPY,sell_USD_buy_JPY,73.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-04-28,USD/JPY,sell_USD_buy_JPY,73.1,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-04-30,USD/JPY,sell_USD_buy_JPY,20.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-05-22,USD/JPY,sell_USD_buy_JPY,52.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-05-27,USD/JPY,sell_USD_buy_JPY,32.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-05-28,USD/JPY,sell_USD_buy_JPY,50.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-05-29,USD/JPY,sell_USD_buy_JPY,32.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-06-02,USD/JPY,sell_USD_buy_JPY,42.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-06-03,USD/JPY,sell_USD_buy_JPY,30.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-06-04,USD/JPY,sell_USD_buy_JPY,17.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-06-10,USD/JPY,sell_USD_buy_JPY,19.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-06-18,USD/JPY,sell_USD_buy_JPY,25.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-06-25,USD/JPY,sell_USD_buy_JPY,12.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-07-24,USD/JPY,sell_USD_buy_JPY,28.6,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-07-27,USD/JPY,sell_USD_buy_JPY,19.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-08-07,USD/JPY,sell_USD_buy_JPY,12.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1992-08-11,USD/JPY,sell_USD_buy_JPY,3.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-04-02,USD/JPY,sell_JPY_buy_USD,36.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-04-05,USD/JPY,sell_JPY_buy_USD,22.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-04-06,USD/JPY,sell_JPY_buy_USD,11.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-04-08,USD/JPY,sell_JPY_buy_USD,51.1,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-04-09,USD/JPY,sell_JPY_buy_USD,5.1,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1993-04-12,USD/JPY,sell_JPY_buy_USD,33.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
