date,minister,source,max_level,n_fx_blocks,no_comment,matched_phrases,url
2022-01-07,鈴木,warp,1,1,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20210107.html
2022-01-11,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20210111.html
2022-01-18,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220118.html
2022-01-21,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220121.html
2022-01-25,鈴木,warp,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20220125.html
2022-01-28,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220128.html
2022-02-01,鈴木,warp,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20220201.html
2022-02-04,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220204.html
2022-02-08,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220208.html
2022-02-10,鈴木,warp,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20220210.html
2022-02-15,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220215.html
2022-02-18,鈴木,warp,1,1,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20220218.html
2022-03-01,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220301.html
2022-03-04,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220304.html
2022-03-08,鈴木,warp,1,1,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20220308.html
2022-03-11,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220311.html
2022-03-15,鈴木,warp,1,1,1,L1:注視,https://www.mof.go.jp/public_relations/conference/my20220315.html
2022-03-16,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220316.html
2022-03-18,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220318.html
2022-03-22,鈴木,warp,2,1,0,L1:注視;L2:急激な変動/望ましくない,https://www.mof.go.jp/public_relations/conference/my20220322.html
2022-03-25,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220325.html
2022-03-29,鈴木,warp,1,1,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20220329.html
2022-04-01,鈴木,warp,3,1,0,L1:注視;L2:急速な変動/望ましくない/緊張感/過度の変動;L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20220401.html
2022-04-05,鈴木,warp,1,1,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20220405.html
2022-04-08,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220408.html
2022-04-12,鈴木,warp,3,1,0,L1:注視;L2:望ましくない/緊張感/過度の変動;L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20220412.html
2022-04-15,鈴木,warp,2,1,1,L2:急速な変動/望ましくない,https://www.mof.go.jp/public_relations/conference/my20220415.html
2022-04-19,鈴木,warp,3,2,1,L1:注視;L2:急速な変動/望ましくない/緊張感/過度の変動;L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20220419.html
2022-04-21,鈴木,warp,2,5,1,L2:急激な変動/緊張感,https://www.mof.go.jp/public_relations/conference/my20220421.html
2022-04-26,鈴木,warp,0,3,0,,https://www.mof.go.jp/public_relations/conference/my20220426.html
2022-04-28,鈴木,warp,2,2,0,L2:急速な変動/望ましくない,https://www.mof.go.jp/public_relations/conference/my20220428.html
2022-05-10,鈴木,warp,3,1,0,L1:注視;L2:望ましくない/緊張感/過度な変動;L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20220510.html
2022-05-13,鈴木,warp,0,3,0,,https://www.mof.go.jp/public_relations/conference/my20220513.html
2022-05-19,鈴木,warp,4,5,0,L3:適切に対応;L4:断固,https://www.mof.go.jp/public_relations/conference/my20220519.html
2022-05-24,鈴木,warp,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20220524.html
2022-05-27,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220527.html
2022-05-31,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220531.html
2022-06-03,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220603.html
2022-06-07,鈴木,warp,3,3,0,L1:注視;L2:急速な変動/望ましくない/緊張感/過度の変動;L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20220607.html
2022-06-10,鈴木,warp,3,1,1,L1:注視;L2:急速な変動/緊張感;L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20220610.html
2022-06-14,鈴木,warp,3,1,0,L1:注視;L2:憂慮/緊張感/過度の変動;L3:適切な対応,https://www.mof.go.jp/public_relations/conference/my20220614.html
2022-06-17,鈴木,warp,2,4,0,L1:注視;L2:憂慮/緊張感,https://www.mof.go.jp/public_relations/conference/my20220617.html
2022-06-21,鈴木,warp,3,1,0,L1:注視;L2:急速な変動/憂慮/望ましくない/緊張感/過度の変動;L3:適切な対応,https://www.mof.go.jp/public_relations/conference/my20220621.html
2022-06-28,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220628.html
2022-07-05,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220705.html
2022-07-15,鈴木,warp,3,3,1,L1:注視;L2:急激な変動/憂慮/緊張感/過度の変動;L3:投機的な動き/適切な対応,https://www.mof.go.jp/public_relations/conference/my20220715.html
2022-07-16,鈴木,warp,2,1,0,L1:注視;L2:急激な変動/緊張感,https://www.mof.go.jp/public_relations/conference/my20220716.html
2022-07-19,鈴木,warp,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20220719.html
2022-07-22,鈴木,warp,1,2,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20220722.html
2022-07-26,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220726.html
2022-07-29,鈴木,warp,2,1,1,L1:注視;L2:緊張感,https://www.mof.go.jp/public_relations/conference/my20220729.html
2022-08-02,鈴木,warp,2,1,0,L1:注視;L2:緊張感,https://www.mof.go.jp/public_relations/conference/my20220802.html
2022-08-05,鈴木,warp,2,1,1,L1:注視;L2:緊張感,https://www.mof.go.jp/public_relations/conference/my20220805.html
2022-08-08,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220808.html
2022-08-10,鈴木,warp,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20220810.html
2022-08-15,鈴木,warp,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20220815.html
2022-08-23,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220823.html
2022-08-26,鈴木,warp,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20220826.html
2022-08-30,鈴木,warp,1,2,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20220830.html
