date,nav_jpy,burn_per_day_jpy,days_to_floor,floor_date_est,method,burn_fit_per_day_jpy,days_to_floor_fit,burn_keeper_per_day_jpy,burn_edge_per_day_jpy,edge_basis,nav_ts_utc
2026-09-07,276304,82.0,174,2027-02-28,audit_default,,,,,,
2026-09-10,275586,82.0,165,2027-02-22,audit_default,,,,,,
2026-09-11,275677,82.0,166,2027-02-24,audit_default,,,,,,
2026-09-12,275677,82.0,166,2027-02-25,audit_default,,,,,,
2026-09-14,275517,82.0,164,2027-02-25,audit_default,,,,,,
2026-09-15,275517,82.0,164,2027-02-26,audit_default,,,,,,
2026-09-16,275517,74.8,180,2027-03-15,fit,,,,,,
2026-09-17,275517,64.3,210,2027-04-15,fit,,,,,,
2026-09-18,275517,55.8,242,2027-05-18,fit,,,,,,
2026-09-19,275517,55.8,242,2027-05-19,fit,,,,,,
2026-09-21,275517,40.4,334,2027-08-21,fit,,,,,,
2026-09-22,275517,68.3,197,2027-04-07,decomposed,34.6,390,68.3,0.0,unavailable:keeper_split_unknown(span=15d),
2026-09-23,275472,68.3,197,2027-04-08,decomposed,31.4,428,68.3,0.0,unavailable:keeper_split_unknown(span=16d),2026-09-23T11:11:38.287421+00:00
