strategy,regime,direction,n,wins,wr,mean_pnl
bb_rsi_reversion,range_tight,BUY,48,16,0.3333333333333333,-0.5666666666666668
bb_rsi_reversion,range_tight,SELL,56,15,0.26785714285714285,-2.2660714285714283
bb_rsi_reversion,range_wide,BUY,4,0,0.0,-3.4999999999999996
bb_rsi_reversion,range_wide,SELL,7,2,0.2857142857142857,-1.9714285714285715
bb_rsi_reversion,trend_up_strong,BUY,8,5,0.625,2.125
bb_rsi_reversion,trend_up_strong,SELL,26,4,0.15384615384615385,-2.2884615384615383
bb_rsi_reversion,trend_up_weak,SELL,1,0,0.0,-6.1
bb_squeeze_breakout,range_tight,BUY,28,7,0.25,-0.31785714285714295
bb_squeeze_breakout,range_tight,SELL,16,7,0.4375,4.425
bb_squeeze_breakout,range_wide,SELL,8,2,0.25,1.9875
bb_squeeze_breakout,trend_up_strong,BUY,4,0,0.0,-3.45
bb_squeeze_breakout,trend_up_strong,SELL,6,0,0.0,-3.483333333333333
doji_breakout,range_tight,SELL,1,1,1.0,9.1
doji_breakout,range_wide,BUY,1,0,0.0,-11.3
dt_bb_rsi_mr,range_wide,BUY,8,3,0.375,-2.3875
dt_bb_rsi_mr,trend_up_strong,BUY,5,4,0.8,7.42
dt_fib_reversal,range_tight,BUY,6,0,0.0,-7.533333333333332
dt_fib_reversal,trend_up_strong,BUY,1,1,1.0,10.8
dt_fib_reversal,trend_up_strong,SELL,1,0,0.0,-7.2
dt_fib_reversal,trend_up_weak,BUY,4,1,0.25,1.1749999999999998
dt_sr_channel_reversal,range_tight,BUY,2,2,1.0,13.7
dt_sr_channel_reversal,range_tight,SELL,1,1,1.0,9.7
dt_sr_channel_reversal,range_wide,BUY,9,0,0.0,-7.211111111111112
dt_sr_channel_reversal,range_wide,SELL,1,1,1.0,9.1
dt_sr_channel_reversal,trend_up_strong,BUY,4,1,0.25,0.09999999999999994
dt_sr_channel_reversal,trend_up_weak,BUY,5,2,0.4,-3.8
dual_sr_bounce,range_tight,BUY,3,1,0.3333333333333333,-2.0
dual_sr_bounce,range_wide,BUY,1,0,0.0,-11.2
dual_sr_bounce,trend_up_weak,SELL,2,0,0.0,-6.95
ema200_trend_reversal,range_tight,BUY,5,2,0.4,1.5799999999999996
ema200_trend_reversal,range_tight,SELL,3,1,0.3333333333333333,4.066666666666666
ema200_trend_reversal,range_wide,BUY,1,0,0.0,-8.3
ema200_trend_reversal,trend_up_strong,BUY,1,0,0.0,-7.2
ema200_trend_reversal,trend_up_strong,SELL,1,1,1.0,14.3
