n,wr,wilson_lo_pct,ev_pips,pf,kelly,avg_win,avg_loss,p_value,bev_wr,strategy,session,fold
376,0.2633,22.13,-0.867,0.565,0.0,4.274,-2.704,1.0,0.5022,ma_mr_hybrid,ALL,ALL
112,0.3036,22.61,-0.456,0.739,0.0,4.26,-2.512,0.99998,0.489,ma_mr_hybrid,Tokyo,ALL
103,0.2233,15.37,-1.388,0.393,0.0,4.024,-2.944,1.0,0.5373,ma_mr_hybrid,London,ALL
139,0.2446,18.06,-0.815,0.583,0.0,4.652,-2.585,1.0,0.4678,ma_mr_hybrid,NY,ALL
125,0.296,22.3,-0.431,0.777,0.0,5.087,-2.751,0.99989,0.453,ma_mr_hybrid,ALL,f1
125,0.232,16.67,-1.387,0.39,0.0,3.822,-2.961,1.0,0.5545,ma_mr_hybrid,ALL,f2
126,0.2619,19.3,-0.783,0.557,0.0,3.76,-2.395,1.0,0.5191,ma_mr_hybrid,ALL,f3
477,0.3585,31.67,-0.948,0.709,0.0,6.431,-5.072,1.0,0.5105,ma_regime_switch,ALL,ALL
142,0.331,25.89,-1.385,0.543,0.0,4.976,-4.532,1.0,0.5608,ma_regime_switch,Tokyo,ALL
138,0.3913,31.39,-0.669,0.776,0.0,5.928,-4.91,0.99948,0.5268,ma_regime_switch,London,ALL
150,0.3733,30.0,-0.769,0.784,0.0,7.461,-5.672,0.99876,0.4928,ma_regime_switch,NY,ALL
159,0.3396,27.06,-1.198,0.675,0.0,7.317,-5.578,0.99997,0.4946,ma_regime_switch,ALL,f1
159,0.3459,27.64,-0.998,0.691,0.0,6.439,-4.931,0.99998,0.504,ma_regime_switch,ALL,f2
159,0.3899,31.76,-0.649,0.773,0.0,5.653,-4.678,0.99986,0.5302,ma_regime_switch,ALL,f3
40,0.25,14.19,-1.761,0.661,0.0,13.744,-6.93,0.96602,0.3739,bb_rsi_ema_aligned,ALL,ALL
17,0.4118,21.61,1.784,1.458,12.9314,13.798,-6.625,0.42739,0.3636,bb_rsi_ema_aligned,Tokyo,ALL
6,0.0,0.0,-6.933,0.0,0.0,0.0,-6.933,1.0,1.1154,bb_rsi_ema_aligned,London,ALL
12,0.1667,4.7,-3.8,0.422,0.0,16.672,-7.895,0.95993,0.3539,bb_rsi_ema_aligned,NY,ALL
13,0.2308,8.18,-3.634,0.493,0.0,15.3,-9.314,0.95059,0.4109,bb_rsi_ema_aligned,ALL,f1
13,0.1538,4.33,-3.633,0.416,0.0,16.795,-7.348,0.96389,0.3375,bb_rsi_ema_aligned,ALL,f2
14,0.3571,16.34,1.715,1.708,14.8007,11.59,-3.77,0.40778,0.2975,bb_rsi_ema_aligned,ALL,f3
