strategy,ts,hour_utc,session,signal,outcome,pnl_pips,exit_bars
ma_mr_hybrid,2026-01-15 08:10:00+00:00,8,London,SELL,LOSS,-1.6937803259158273,1
ma_mr_hybrid,2026-01-15 14:18:00+00:00,14,NY,BUY,LOSS,-3.245182921215405,2
ma_mr_hybrid,2026-01-16 01:52:00+00:00,1,Tokyo,SELL,LOSS,-2.152259102284847,1
ma_mr_hybrid,2026-01-16 13:51:00+00:00,13,NY,BUY,LOSS,-2.29818841899787,1
ma_mr_hybrid,2026-01-16 15:21:00+00:00,15,NY,SELL,LOSS,-2.3411084539238116,1
ma_mr_hybrid,2026-01-16 17:33:00+00:00,17,NY,SELL,LOSS,-2.4786199271365374,2
ma_mr_hybrid,2026-01-19 00:17:00+00:00,0,Tokyo,SELL,WIN,7.0856920904371465,5
ma_mr_hybrid,2026-01-19 02:27:00+00:00,2,Tokyo,BUY,WIN,3.469470066205372,6
ma_mr_hybrid,2026-01-19 03:13:00+00:00,3,Tokyo,SELL,WIN,3.1441493527846207,4
ma_mr_hybrid,2026-01-19 06:18:00+00:00,6,Tokyo,BUY,LOSS,-2.8197340089168845,1
ma_mr_hybrid,2026-01-19 07:11:00+00:00,7,London,BUY,LOSS,-1.501452765514432,1
ma_mr_hybrid,2026-01-19 08:11:00+00:00,8,London,BUY,LOSS,-2.995522675035022,1
ma_mr_hybrid,2026-01-20 02:02:00+00:00,2,Tokyo,BUY,LOSS,-2.749430880316072,2
ma_mr_hybrid,2026-01-20 05:10:00+00:00,5,Tokyo,BUY,LOSS,-2.665632085784341,1
ma_mr_hybrid,2026-01-20 06:57:00+00:00,6,Tokyo,BUY,LOSS,-1.590463925449103,1
ma_mr_hybrid,2026-01-20 08:07:00+00:00,8,London,BUY,LOSS,-4.400801664225628,1
ma_mr_hybrid,2026-01-20 09:16:00+00:00,9,London,SELL,LOSS,-3.3601867403537424,3
ma_mr_hybrid,2026-01-20 13:18:00+00:00,13,NY,BUY,WIN,3.222743514258309,2
ma_mr_hybrid,2026-01-20 16:09:00+00:00,16,NY,BUY,WIN,3.2213021327389244,2
ma_mr_hybrid,2026-01-20 16:45:00+00:00,16,NY,SELL,LOSS,-1.6973256164807708,1
ma_mr_hybrid,2026-01-20 17:19:00+00:00,17,NY,BUY,LOSS,-2.2130915280844645,1
ma_mr_hybrid,2026-01-21 02:23:00+00:00,2,Tokyo,SELL,WIN,5.41629636979435,5
ma_mr_hybrid,2026-01-21 05:56:00+00:00,5,Tokyo,SELL,LOSS,-2.614944287937692,1
ma_mr_hybrid,2026-01-21 13:18:00+00:00,13,NY,SELL,LOSS,-1.6380749395286103,1
ma_mr_hybrid,2026-01-22 00:57:00+00:00,0,Tokyo,BUY,WIN,3.8691365560690203,5
ma_mr_hybrid,2026-01-22 06:40:00+00:00,6,Tokyo,BUY,LOSS,-1.1373081905323261,1
ma_mr_hybrid,2026-01-22 13:11:00+00:00,13,NY,BUY,LOSS,-1.2616022007468246,1
