snapshot_ts_utc,symbol,long_pct,short_pct,total_positions,long_positions,short_positions,long_volume_lots,short_volume_lots
2011-02-10T21:01:15Z,AUDUSD,53.0,46.0,498,220,278,77.14,66.57
2011-02-10T21:01:15Z,EURCHF,68.0,31.0,445,316,129,78.59,36.22
2011-02-10T21:01:15Z,EURGBP,76.0,23.0,190,103,87,23.2,6.96
2011-02-10T21:01:15Z,EURJPY,17.0,82.0,407,144,263,15.79,73.16
2011-02-10T21:01:15Z,EURUSD,60.0,39.0,2696,1029,1667,394.8,258.17
2011-02-10T21:01:15Z,GBPJPY,12.0,87.0,353,76,277,15.67,113.27
2011-02-10T21:01:15Z,GBPUSD,44.0,55.0,1261,535,726,200.21,248.89
2011-02-10T21:01:15Z,USDCAD,50.0,49.0,221,117,104,20.56,19.97
2011-02-10T21:01:15Z,USDCHF,21.0,78.0,462,148,314,34.08,124.26
2011-02-10T21:01:15Z,USDJPY,45.0,54.0,672,380,292,103.41,121.92
2011-02-19T10:54:39Z,AUDUSD,32.0,67.0,461,144,317,42.91,87.22
2011-02-19T10:54:39Z,EURCHF,80.0,19.0,431,366,65,61.92,14.89
2011-02-19T10:54:39Z,EURGBP,71.0,28.0,159,89,70,22.89,9.1
2011-02-19T10:54:39Z,EURJPY,30.0,69.0,414,148,266,21.56,49.56
2011-02-19T10:54:39Z,EURUSD,43.0,56.0,2351,885,1466,344.8,446.94
2011-02-19T10:54:39Z,GBPJPY,26.0,73.0,570,107,463,50.58,137.26
2011-02-19T10:54:39Z,GBPUSD,20.0,79.0,1701,353,1348,154.59,585.95
2011-02-19T10:54:39Z,USDCAD,86.0,13.0,284,216,68,40.14,6.38
2011-02-19T10:54:39Z,USDCHF,68.0,31.0,521,405,116,237.03,106.6
2011-02-19T10:54:39Z,USDJPY,44.0,55.0,641,405,236,66.59,82.05
2011-02-28T10:46:12Z,AUDUSD,34.0,65.0,529,148,381,51.84,96.52
2011-02-28T10:46:12Z,EURCHF,73.0,26.0,491,398,93,70.33,24.72
2011-02-28T10:46:12Z,EURGBP,59.0,40.0,211,79,132,19.23,13.0
2011-02-28T10:46:12Z,EURJPY,31.0,68.0,429,181,248,24.48,52.62
2011-02-28T10:46:12Z,EURUSD,34.0,65.0,2762,924,1838,314.82,587.23
2011-02-28T10:46:12Z,GBPJPY,39.0,60.0,393,171,222,55.89,85.17
2011-02-28T10:46:12Z,GBPUSD,19.0,80.0,1525,485,1040,175.27,701.63
2011-02-28T10:46:12Z,USDCAD,89.0,10.0,338,275,63,90.73,10.49
2011-02-28T10:46:12Z,USDCHF,81.0,18.0,775,595,180,212.85,49.16
2011-02-28T10:46:12Z,USDJPY,77.0,22.0,830,714,116,153.18,43.59
2011-03-10T14:03:53Z,AUDUSD,62.0,37.0,706,368,338,138.74,82.06
2011-03-10T14:03:53Z,EURCHF,62.0,37.0,542,374,168,72.54,43.73
2011-03-10T14:03:53Z,EURGBP,27.0,72.0,247,92,155,8.53,22.29
2011-03-10T14:03:53Z,EURJPY,40.0,59.0,593,226,367,46.67,68.14
2011-03-10T14:03:53Z,EURUSD,50.0,49.0,3516,1475,2041,457.81,448.42
2011-03-10T14:03:53Z,GBPJPY,31.0,68.0,729,145,584,41.5,89.12
2011-03-10T14:03:53Z,GBPUSD,74.0,25.0,1752,1160,592,468.66,159.8
2011-03-10T14:03:53Z,USDCAD,79.0,20.0,626,472,154,280.67,73.22
2011-03-10T14:03:53Z,USDCHF,90.0,9.0,773,478,295,774.72,78.11
2011-03-10T14:03:53Z,USDJPY,32.0,67.0,868,413,455,53.06,108.9
2011-03-22T19:42:38Z,AUDUSD,23.0,76.0,699,228,471,57.39,185.24
2011-03-22T19:42:38Z,EURCHF,76.0,23.0,516,368,148,82.16,24.95
2011-03-22T19:42:38Z,EURGBP,61.0,38.0,312,154,158,57.91,36.41
2011-03-22T19:42:38Z,EURJPY,24.0,75.0,449,169,280,33.95,104.0
2011-03-22T19:42:38Z,EURUSD,24.0,75.0,2533,672,1861,253.43,791.64
2011-03-22T19:42:38Z,GBPJPY,22.0,77.0,697,247,450,39.93,139.19
2011-03-22T19:42:38Z,GBPUSD,11.0,88.0,2478,682,1796,149.63,1098.08
2011-03-22T19:42:38Z,USDCAD,75.0,24.0,479,354,125,107.46,34.66
2011-03-22T19:42:38Z,USDCHF,63.0,36.0,627,459,168,162.73,93.35
2011-03-22T19:42:38Z,USDJPY,49.0,50.0,659,395,264,97.28,97.83
2011-04-03T07:01:25Z,AUDUSD,11.0,88.0,731,146,585,56.64,437.13
2011-04-03T07:01:25Z,EURCHF,14.0,85.0,629,284,345,59.97,342.93
2011-04-03T07:01:25Z,EURGBP,20.0,79.0,363,105,258,43.71,172.97
2011-04-03T07:01:25Z,EURJPY,4.0,95.0,629,90,539,21.0,418.12
2011-04-03T07:01:25Z,EURUSD,35.0,64.0,2398,962,1436,320.49,583.7
2011-04-03T07:01:25Z,GBPJPY,15.0,84.0,693,134,559,29.83,165.54
2011-04-03T07:01:25Z,GBPUSD,45.0,54.0,1555,763,792,349.39,413.8
2011-04-03T07:01:25Z,USDCAD,89.0,10.0,444,379,65,348.13,41.63
2011-04-03T07:01:25Z,USDCHF,41.0,58.0,501,256,245,81.46,113.39
2011-04-03T07:01:25Z,USDJPY,4.0,95.0,732,280,452,43.88,884.32
2011-04-12T10:54:48Z,AUDUSD,48.0,51.0,669,224,445,111.91,117.65
2011-04-12T10:54:48Z,EURCHF,61.0,38.0,542,404,138,179.41,112.52
2011-04-12T10:54:48Z,EURGBP,33.0,66.0,460,127,333,88.98,178.54
2011-04-12T10:54:48Z,EURJPY,18.0,81.0,513,120,393,75.01,335.44
