series,event_time_utc,forecast,actual,surprise,sigma_trailing,z,prior_n,exclude_reason
NFP,2014-01-10T13:30:00Z,196.0,74.0,-122.0,,,0,warmup_lt_24_prior
CPI,2014-01-16T13:30:00Z,0.3,0.3,0.0,,,0,warmup_lt_24_prior
NFP,2014-02-07T13:30:00Z,185.0,113.0,-72.0,,,1,warmup_lt_24_prior
CPI,2014-02-20T13:30:00Z,0.1,0.1,0.0,,,1,warmup_lt_24_prior
NFP,2014-03-07T13:30:00Z,151.0,175.0,24.0,,,2,warmup_lt_24_prior
CPI,2014-03-18T12:30:00Z,0.1,0.1,0.0,,,2,warmup_lt_24_prior
NFP,2014-04-04T12:30:00Z,199.0,192.0,-7.0,,,3,warmup_lt_24_prior
CPI,2014-04-15T12:30:00Z,0.1,0.2,0.1,,,3,warmup_lt_24_prior
NFP,2014-05-02T12:30:00Z,216.0,288.0,72.0,,,4,warmup_lt_24_prior
CPI,2014-05-15T12:30:00Z,0.3,0.3,0.0,,,4,warmup_lt_24_prior
NFP,2014-06-06T12:30:00Z,214.0,217.0,3.0,,,5,warmup_lt_24_prior
CPI,2014-06-17T12:30:00Z,0.2,0.4,0.2,,,5,warmup_lt_24_prior
NFP,2014-07-03T12:30:00Z,214.0,288.0,74.0,,,6,warmup_lt_24_prior
CPI,2014-07-22T12:30:00Z,0.3,0.3,0.0,,,6,warmup_lt_24_prior
NFP,2014-08-01T12:30:00Z,231.0,209.0,-22.0,,,7,warmup_lt_24_prior
CPI,2014-08-19T12:30:00Z,0.1,0.1,0.0,,,7,warmup_lt_24_prior
NFP,2014-09-05T12:30:00Z,226.0,142.0,-84.0,,,8,warmup_lt_24_prior
CPI,2014-09-17T12:30:00Z,0.1,-0.2,-0.30000000000000004,,,8,warmup_lt_24_prior
NFP,2014-10-03T12:30:00Z,216.0,248.0,32.0,,,9,warmup_lt_24_prior
CPI,2014-10-22T12:30:00Z,0.0,0.1,0.1,,,9,warmup_lt_24_prior
NFP,2014-11-07T13:30:00Z,235.0,214.0,-21.0,,,10,warmup_lt_24_prior
CPI,2014-11-20T13:30:00Z,-0.1,0.0,0.1,,,10,warmup_lt_24_prior
NFP,2014-12-05T13:30:00Z,231.0,321.0,90.0,,,11,warmup_lt_24_prior
CPI,2014-12-17T13:30:00Z,-0.1,-0.3,-0.19999999999999998,,,11,warmup_lt_24_prior
NFP,2015-01-09T13:30:00Z,241.0,252.0,11.0,,,12,warmup_lt_24_prior
CPI,2015-01-16T13:30:00Z,-0.3,-0.4,-0.10000000000000003,,,12,warmup_lt_24_prior
NFP,2015-02-06T13:30:00Z,236.0,257.0,21.0,,,13,warmup_lt_24_prior
CPI,2015-02-26T13:30:00Z,-0.6,-0.7,-0.09999999999999998,,,13,warmup_lt_24_prior
NFP,2015-03-06T13:30:00Z,240.0,295.0,55.0,,,14,warmup_lt_24_prior
CPI,2015-03-24T12:30:00Z,0.2,0.2,0.0,,,14,warmup_lt_24_prior
NFP,2015-04-03T12:30:00Z,246.0,126.0,-120.0,,,15,warmup_lt_24_prior
CPI,2015-04-17T12:30:00Z,0.2,0.2,0.0,,,15,warmup_lt_24_prior
NFP,2015-05-08T12:30:00Z,228.0,223.0,-5.0,,,16,warmup_lt_24_prior
CPI,2015-05-22T12:30:00Z,0.1,0.1,0.0,,,16,warmup_lt_24_prior
NFP,2015-06-05T12:30:00Z,222.0,280.0,58.0,,,17,warmup_lt_24_prior
CPI,2015-06-18T12:30:00Z,0.5,0.4,-0.09999999999999998,,,17,warmup_lt_24_prior
NFP,2015-07-02T12:30:00Z,231.0,223.0,-8.0,,,18,warmup_lt_24_prior
CPI,2015-07-17T12:30:00Z,0.3,0.3,0.0,,,18,warmup_lt_24_prior
NFP,2015-08-07T12:30:00Z,222.0,215.0,-7.0,,,19,warmup_lt_24_prior
CPI,2015-08-19T12:30:00Z,0.2,0.1,-0.1,,,19,warmup_lt_24_prior
NFP,2015-09-04T12:30:00Z,215.0,173.0,-42.0,,,20,warmup_lt_24_prior
CPI,2015-09-16T12:30:00Z,0.0,-0.1,-0.1,,,20,warmup_lt_24_prior
NFP,2015-10-02T12:30:00Z,201.0,142.0,-59.0,,,21,warmup_lt_24_prior
CPI,2015-10-15T12:30:00Z,-0.2,-0.2,0.0,,,21,warmup_lt_24_prior
NFP,2015-11-06T13:30:00Z,181.0,271.0,90.0,,,22,warmup_lt_24_prior
CPI,2015-11-17T13:30:00Z,0.2,0.2,0.0,,,22,warmup_lt_24_prior
NFP,2015-12-04T13:30:00Z,201.0,211.0,10.0,,,23,warmup_lt_24_prior
CPI,2015-12-15T13:30:00Z,0.0,0.0,0.0,,,23,warmup_lt_24_prior
NFP,2016-01-08T13:30:00Z,203.0,292.0,89.0,60.2047081552429,1.4782897007075597,24,
CPI,2016-01-20T13:30:00Z,0.0,-0.1,-0.1,0.10206207261596575,-0.9797958971132713,24,
NFP,2016-02-05T13:30:00Z,189.0,151.0,-38.0,57.126036603032546,-0.6651958066697518,25,
CPI,2016-02-19T13:30:00Z,-0.1,0.0,0.1,0.103209369308428,0.9689042833036097,25,
NFP,2016-03-04T13:30:00Z,195.0,242.0,47.0,55.46405024486778,0.8473957417913061,26,
CPI,2016-03-16T12:30:00Z,-0.2,-0.2,0.0,0.10623667861928843,0.0,26,
NFP,2016-04-01T12:30:00Z,206.0,215.0,9.0,55.931230419434584,0.16091189005691434,27,
CPI,2016-04-14T12:30:00Z,0.2,0.1,-0.1,0.10623667861928843,-0.9412944879269213,27,
NFP,2016-05-06T12:30:00Z,203.0,160.0,-43.0,55.81554442984499,-0.7703947070523884,28,
CPI,2016-05-17T12:30:00Z,0.3,0.4,0.10000000000000003,0.10417028979206268,0.9599666104377066,28,
NFP,2016-06-03T12:30:00Z,159.0,38.0,-121.0,55.25094267672423,-2.190007882905754,29,
CPI,2016-06-16T12:30:00Z,0.3,0.2,-0.09999999999999998,0.10733936430981313,-0.931624671368189,29,
NFP,2016-07-08T12:30:00Z,175.0,287.0,112.0,61.023635240544415,1.8353544419062506,30,
CPI,2016-07-15T12:30:00Z,0.2,0.2,0.0,0.09696480760071398,0.0,30,
NFP,2016-08-05T12:30:00Z,180.0,255.0,75.0,63.453680470224825,1.1819645360869682,31,
CPI,2016-08-16T12:30:00Z,0.0,0.0,0.0,0.09696480760071398,0.0,31,
NFP,2016-09-02T12:30:00Z,180.0,151.0,-29.0,64.91431085379547,-0.4467427847353385,32,
CPI,2016-09-16T12:30:00Z,0.1,0.2,0.1,0.09696480760071398,1.031301999915108,32,
NFP,2016-10-07T12:30:00Z,171.0,156.0,-15.0,62.51463596746707,-0.2399438110430024,33,
CPI,2016-10-18T12:30:00Z,0.3,0.3,0.0,0.0832970935693524,0.0,33,
NFP,2016-11-04T12:30:00Z,174.0,161.0,-13.0,62.4853461081946,-0.20804877958890147,34,
CPI,2016-11-17T13:30:00Z,0.4,0.4,0.0,0.07939992333804206,0.0,34,
NFP,2016-12-02T13:30:00Z,177.0,178.0,1.0,62.35276861233339,0.016037780234223628,35,
CPI,2016-12-15T13:30:00Z,0.2,0.2,0.0,0.0750603621828092,0.0,35,
NFP,2017-01-06T13:30:00Z,175.0,156.0,-19.0,59.79330339122252,-0.3177613365109569,36,
CPI,2017-01-18T13:30:00Z,0.3,0.3,0.0,0.06580053301400784,0.0,36,
NFP,2017-02-03T13:30:00Z,170.0,227.0,57.0,59.93764876211308,0.9509882549151647,37,
CPI,2017-02-15T13:30:00Z,0.3,0.6,0.3,0.06370220572706062,4.709413066250551,37,
NFP,2017-03-10T13:30:00Z,196.0,235.0,39.0,60.876925020897694,0.6406368256381572,38,
CPI,2017-03-15T12:30:00Z,0.0,0.1,0.1,0.08846517369293828,1.130388330520878,38,
NFP,2017-04-07T12:30:00Z,174.0,98.0,-76.0,60.37395541749458,-1.2588209514259763,39,
