country,title,event_time_utc,impact,forecast,previous,actual
USD,Non-Farm Employment Change,2023-04-07T12:30:00Z,High,,,236K
USD,Non-Farm Employment Change,2023-05-05T12:30:00Z,High,,,253K
USD,Non-Farm Employment Change,2023-06-02T12:30:00Z,High,,,339K
USD,Non-Farm Employment Change,2023-07-07T12:30:00Z,High,,,209K
USD,Non-Farm Employment Change,2023-08-04T12:30:00Z,High,,,187K
USD,Non-Farm Employment Change,2023-09-01T12:30:00Z,High,,,187K
USD,Non-Farm Employment Change,2023-10-06T12:30:00Z,High,,,336K
USD,Non-Farm Employment Change,2023-11-03T12:30:00Z,High,,,150K
USD,Non-Farm Employment Change,2023-12-08T13:30:00Z,High,,,199K
USD,Non-Farm Employment Change,2024-01-05T13:30:00Z,High,,,216K
USD,Non-Farm Employment Change,2024-02-02T13:30:00Z,High,,,353K
USD,Non-Farm Employment Change,2024-03-08T13:30:00Z,High,,,275K
USD,Non-Farm Employment Change,2024-04-05T12:30:00Z,High,,,303K
USD,Non-Farm Employment Change,2024-05-03T12:30:00Z,High,,,175K
USD,Non-Farm Employment Change,2024-06-07T12:30:00Z,High,,,272K
USD,Non-Farm Employment Change,2024-07-05T12:30:00Z,High,,,206K
USD,Non-Farm Employment Change,2024-08-02T12:30:00Z,High,,,114K
USD,Non-Farm Employment Change,2024-09-06T12:30:00Z,High,,,142K
USD,Non-Farm Employment Change,2024-10-04T12:30:00Z,High,,,254K
USD,Non-Farm Employment Change,2024-11-01T12:30:00Z,High,,,12K
USD,Non-Farm Employment Change,2024-12-06T13:30:00Z,High,,,227K
USD,Non-Farm Employment Change,2025-01-10T13:30:00Z,High,,,256K
USD,Non-Farm Employment Change,2025-02-07T13:30:00Z,High,,,143K
USD,Non-Farm Employment Change,2025-03-07T13:30:00Z,High,,,151K
USD,Non-Farm Employment Change,2025-04-04T12:30:00Z,High,,,228K
USD,Non-Farm Employment Change,2025-05-02T12:30:00Z,High,,,177K
USD,Non-Farm Employment Change,2025-06-06T12:30:00Z,High,,,139K
USD,Non-Farm Employment Change,2025-07-03T12:30:00Z,High,,,147K
USD,Non-Farm Employment Change,2025-08-01T12:30:00Z,High,,,73K
USD,Non-Farm Employment Change,2025-09-05T12:30:00Z,High,,,22K
USD,Non-Farm Employment Change,2025-11-20T13:30:00Z,High,,,119K
USD,Non-Farm Employment Change,2025-12-16T13:30:00Z,High,,,64K
USD,Non-Farm Employment Change,2026-01-09T13:30:00Z,High,,,50K
USD,Non-Farm Employment Change,2026-02-11T13:30:00Z,High,,,130K
USD,Non-Farm Employment Change,2026-03-06T13:30:00Z,High,,,-92K
USD,Non-Farm Employment Change,2026-04-03T12:30:00Z,High,,,178K
USD,Non-Farm Employment Change,2026-05-08T12:30:00Z,High,,,115K
USD,Non-Farm Employment Change,2026-06-05T12:30:00Z,High,,,172K
USD,CPI m/m,2023-04-12T12:30:00Z,High,,,0.1%
USD,CPI m/m,2023-05-10T12:30:00Z,High,,,0.4%
USD,CPI m/m,2023-06-13T12:30:00Z,High,,,0.1%
USD,CPI m/m,2023-07-12T12:30:00Z,High,,,0.2%
USD,CPI m/m,2023-08-10T12:30:00Z,High,,,0.2%
USD,CPI m/m,2023-09-13T12:30:00Z,High,,,0.6%
USD,CPI m/m,2023-10-12T12:30:00Z,High,,,0.4%
USD,CPI m/m,2023-11-14T13:30:00Z,High,,,0.0%
USD,CPI m/m,2023-12-12T13:30:00Z,High,,,0.1%
USD,CPI m/m,2024-01-11T13:30:00Z,High,,,0.3%
USD,CPI m/m,2024-02-13T13:30:00Z,High,,,0.3%
USD,CPI m/m,2024-03-12T12:30:00Z,High,,,0.4%
USD,CPI m/m,2024-04-10T12:30:00Z,High,,,0.4%
USD,CPI m/m,2024-05-15T12:30:00Z,High,,,0.3%
USD,CPI m/m,2024-06-12T12:30:00Z,High,,,0.0%
USD,CPI m/m,2024-07-11T12:30:00Z,High,,,-0.1%
USD,CPI m/m,2024-08-14T12:30:00Z,High,,,0.2%
USD,CPI m/m,2024-09-11T12:30:00Z,High,,,0.2%
USD,CPI m/m,2024-10-10T12:30:00Z,High,,,0.2%
USD,CPI m/m,2024-11-13T13:30:00Z,High,,,0.2%
USD,CPI m/m,2024-12-11T13:30:00Z,High,,,0.3%
USD,CPI m/m,2025-01-15T13:30:00Z,High,,,0.4%
USD,CPI m/m,2025-02-12T13:30:00Z,High,,,0.5%
USD,CPI m/m,2025-03-12T12:30:00Z,High,,,0.2%
USD,CPI m/m,2025-04-10T12:30:00Z,High,,,-0.1%
USD,CPI m/m,2025-05-13T12:30:00Z,High,,,0.2%
USD,CPI m/m,2025-06-11T12:30:00Z,High,,,0.1%
USD,CPI m/m,2025-07-15T12:30:00Z,High,,,0.3%
USD,CPI m/m,2025-08-12T12:30:00Z,High,,,0.2%
USD,CPI m/m,2025-09-11T12:30:00Z,High,,,0.4%
USD,CPI m/m,2025-10-24T12:30:00Z,High,,,0.3%
USD,CPI m/m,2026-01-13T13:30:00Z,High,,,0.3%
USD,CPI m/m,2026-02-13T13:30:00Z,High,,,0.2%
USD,CPI m/m,2026-03-11T12:30:00Z,High,,,0.3%
USD,CPI m/m,2026-04-10T12:30:00Z,High,,,0.9%
USD,CPI m/m,2026-05-12T12:30:00Z,High,,,0.6%
USD,CPI m/m,2026-06-10T12:30:00Z,High,,,0.5%
