date,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,15y,20y,25y,30y,40y
2013-01-04,0.101,0.097,0.097,0.148,0.203,0.321,0.474,0.609,0.737,0.835,1.39,1.777,1.9,1.984,2.149
2013-01-07,0.101,0.096,0.1,0.148,0.204,0.316,0.459,0.599,0.728,0.835,1.397,1.786,1.909,1.992,2.156
2013-01-08,0.101,0.096,0.099,0.153,0.21,0.316,0.461,0.6,0.728,0.825,1.392,1.786,1.912,1.996,2.158
2013-01-09,0.1,0.096,0.098,0.148,0.204,0.313,0.461,0.601,0.728,0.825,1.388,1.782,1.908,1.992,2.154
2013-01-10,0.1,0.096,0.098,0.144,0.196,0.305,0.456,0.596,0.729,0.825,1.388,1.782,1.909,1.987,2.154
2013-01-11,0.089,0.08,0.083,0.129,0.173,0.279,0.43,0.571,0.711,0.816,1.379,1.782,1.918,2.001,2.169
2013-01-15,0.08,0.08,0.078,0.124,0.163,0.253,0.392,0.532,0.666,0.773,1.341,1.756,1.896,1.989,2.158
2013-01-16,0.08,0.08,0.08,0.125,0.165,0.247,0.377,0.513,0.642,0.754,1.314,1.73,1.864,1.956,2.127
2013-01-17,0.08,0.08,0.08,0.12,0.161,0.243,0.371,0.503,0.631,0.742,1.315,1.735,1.873,1.964,2.139
2013-01-18,0.079,0.075,0.075,0.115,0.155,0.248,0.383,0.518,0.649,0.759,1.337,1.761,1.9,1.989,2.167
2013-01-21,0.079,0.075,0.075,0.116,0.155,0.239,0.369,0.505,0.634,0.745,1.309,1.735,1.873,1.958,2.145
2013-01-22,0.078,0.075,0.077,0.111,0.151,0.234,0.364,0.5,0.629,0.742,1.304,1.74,1.873,1.963,2.151
2013-01-23,0.088,0.085,0.086,0.121,0.162,0.245,0.375,0.51,0.635,0.741,1.304,1.73,1.859,1.953,2.138
2013-01-24,0.087,0.085,0.085,0.116,0.155,0.24,0.368,0.5,0.63,0.742,1.315,1.753,1.882,1.967,2.154
2013-01-25,0.08,0.079,0.08,0.111,0.151,0.235,0.358,0.49,0.621,0.733,1.315,1.766,1.895,1.985,2.172
2013-01-28,0.086,0.08,0.081,0.121,0.163,0.256,0.385,0.517,0.646,0.758,1.33,1.766,1.896,1.985,2.17
2013-01-29,0.086,0.08,0.081,0.121,0.164,0.266,0.409,0.541,0.667,0.777,1.35,1.771,1.899,1.985,2.167
2013-01-30,0.085,0.08,0.082,0.122,0.163,0.262,0.409,0.548,0.671,0.787,1.36,1.779,1.91,1.994,2.173
2013-01-31,0.075,0.067,0.07,0.111,0.152,0.243,0.383,0.523,0.647,0.763,1.336,1.766,1.893,1.975,2.157
2013-02-01,0.075,0.067,0.074,0.11,0.153,0.256,0.406,0.549,0.672,0.783,1.348,1.771,1.892,1.977,2.159
2013-02-04,0.073,0.067,0.076,0.125,0.169,0.288,0.446,0.59,0.713,0.817,1.378,1.789,1.911,1.994,2.175
2013-02-05,0.073,0.067,0.074,0.12,0.164,0.278,0.428,0.57,0.696,0.803,1.369,1.78,1.906,1.99,2.171
2013-02-06,0.063,0.051,0.06,0.11,0.153,0.263,0.414,0.555,0.682,0.784,1.36,1.78,1.908,1.99,2.171
2013-02-07,0.06,0.032,0.047,0.101,0.143,0.253,0.399,0.541,0.672,0.775,1.355,1.78,1.91,1.989,2.171
2013-02-08,0.059,0.032,0.046,0.101,0.143,0.254,0.395,0.531,0.668,0.769,1.346,1.771,1.901,1.982,2.162
2013-02-12,0.06,0.031,0.047,0.101,0.145,0.253,0.392,0.522,0.66,0.76,1.332,1.758,1.883,1.964,2.141
2013-02-13,0.06,0.03,0.046,0.102,0.145,0.246,0.381,0.512,0.65,0.751,1.323,1.749,1.874,1.957,2.133
2013-02-14,0.06,0.04,0.058,0.112,0.155,0.266,0.418,0.548,0.681,0.779,1.338,1.753,1.869,1.953,2.125
2013-02-15,0.07,0.045,0.053,0.107,0.151,0.253,0.399,0.528,0.658,0.761,1.319,1.74,1.851,1.936,2.109
2013-02-18,0.068,0.045,0.054,0.107,0.151,0.25,0.395,0.526,0.654,0.757,1.315,1.735,1.832,1.92,2.091
2013-02-19,0.067,0.045,0.053,0.103,0.14,0.24,0.385,0.516,0.645,0.754,1.315,1.739,1.828,1.916,2.078
2013-02-20,0.067,0.045,0.054,0.103,0.139,0.235,0.389,0.521,0.65,0.759,1.315,1.752,1.841,1.927,2.088
2013-02-21,0.066,0.045,0.054,0.103,0.139,0.23,0.381,0.517,0.645,0.754,1.314,1.757,1.854,1.94,2.092
2013-02-22,0.065,0.045,0.053,0.103,0.138,0.227,0.376,0.513,0.635,0.744,1.296,1.736,1.832,1.92,2.071
2013-02-25,0.063,0.045,0.055,0.097,0.129,0.215,0.361,0.494,0.617,0.724,1.277,1.723,1.818,1.907,2.059
2013-02-26,0.063,0.045,0.055,0.097,0.123,0.205,0.344,0.472,0.593,0.7,1.248,1.7,1.794,1.882,2.037
2013-02-27,0.062,0.045,0.055,0.097,0.124,0.197,0.329,0.458,0.579,0.686,1.219,1.676,1.777,1.867,2.021
2013-02-28,0.062,0.045,0.054,0.097,0.123,0.198,0.324,0.453,0.572,0.681,1.184,1.634,1.74,1.833,1.99
2013-03-01,0.061,0.045,0.054,0.096,0.124,0.196,0.325,0.448,0.568,0.678,1.174,1.603,1.703,1.794,1.95
2013-03-04,0.049,0.04,0.047,0.081,0.101,0.171,0.295,0.409,0.52,0.63,1.121,1.53,1.623,1.716,1.87
2013-03-05,0.048,0.04,0.047,0.09,0.117,0.193,0.331,0.444,0.556,0.656,1.164,1.577,1.671,1.762,1.903
2013-03-06,0.047,0.04,0.046,0.091,0.112,0.184,0.325,0.445,0.56,0.662,1.182,1.602,1.698,1.785,1.923
2013-03-07,0.046,0.04,0.046,0.091,0.111,0.179,0.321,0.45,0.565,0.666,1.206,1.634,1.726,1.813,1.937
2013-03-08,0.046,0.04,0.046,0.091,0.111,0.169,0.301,0.434,0.545,0.647,1.192,1.625,1.69,1.762,1.893
2013-03-11,0.043,0.04,0.047,0.095,0.115,0.175,0.303,0.442,0.553,0.652,1.207,1.656,1.722,1.783,1.915
2013-03-12,0.043,0.04,0.047,0.1,0.12,0.181,0.288,0.426,0.533,0.632,1.178,1.63,1.694,1.758,1.891
2013-03-13,0.042,0.04,0.046,0.1,0.12,0.185,0.293,0.422,0.529,0.623,1.148,1.604,1.675,1.744,1.878
2013-03-14,0.041,0.04,0.046,0.095,0.12,0.185,0.289,0.418,0.525,0.618,1.143,1.618,1.708,1.775,1.903
2013-03-15,0.05,0.045,0.046,0.097,0.12,0.186,0.289,0.418,0.525,0.615,1.133,1.606,1.703,1.771,1.891
2013-03-18,0.049,0.045,0.048,0.092,0.11,0.173,0.268,0.393,0.495,0.585,1.099,1.574,1.68,1.746,1.857
2013-03-19,0.049,0.045,0.047,0.097,0.116,0.172,0.275,0.398,0.501,0.591,1.099,1.561,1.666,1.733,1.843
2013-03-21,0.048,0.045,0.046,0.097,0.12,0.167,0.26,0.378,0.486,0.577,1.084,1.529,1.628,1.697,1.802
2013-03-22,0.048,0.045,0.049,0.097,0.12,0.16,0.245,0.363,0.471,0.562,1.069,1.497,1.58,1.651,1.757
2013-03-25,0.047,0.039,0.048,0.097,0.12,0.163,0.25,0.363,0.472,0.558,1.052,1.457,1.528,1.589,1.702
2013-03-26,0.046,0.039,0.047,0.097,0.116,0.153,0.24,0.349,0.456,0.544,1.055,1.474,1.561,1.62,1.735
2013-03-27,0.046,0.039,0.044,0.092,0.11,0.147,0.235,0.339,0.435,0.519,1.029,1.453,1.552,1.612,1.73
2013-03-28,0.046,0.046,0.05,0.096,0.117,0.151,0.235,0.339,0.435,0.514,1.008,1.426,1.532,1.594,1.711
2013-03-29,0.056,0.057,0.066,0.107,0.131,0.184,0.282,0.395,0.491,0.564,1.016,1.406,1.499,1.555,1.669
2013-04-01,0.06,0.055,0.069,0.116,0.137,0.184,0.283,0.391,0.487,0.565,1.059,1.44,1.532,1.586,1.699
2013-04-02,0.06,0.056,0.075,0.121,0.141,0.189,0.289,0.395,0.489,0.565,1.045,1.408,1.499,1.55,1.668
2013-04-03,0.06,0.056,0.075,0.123,0.137,0.174,0.274,0.385,0.474,0.555,1.037,1.413,1.508,1.559,1.671
2013-04-04,0.06,0.058,0.078,0.118,0.131,0.148,0.221,0.305,0.373,0.442,0.829,1.176,1.237,1.291,1.405
2013-04-05,0.08,0.082,0.107,0.162,0.18,0.246,0.379,0.456,0.491,0.534,0.852,1.17,1.233,1.279,1.368
2013-04-08,0.09,0.094,0.116,0.17,0.184,0.226,0.352,0.447,0.483,0.525,0.898,1.26,1.336,1.375,1.441
2013-04-09,0.1,0.108,0.133,0.184,0.198,0.207,0.322,0.44,0.484,0.531,0.951,1.326,1.41,1.438,1.487
2013-04-10,0.118,0.123,0.176,0.246,0.27,0.277,0.383,0.505,0.539,0.585,1.017,1.386,1.474,1.497,1.533
2013-04-11,0.109,0.119,0.149,0.188,0.205,0.221,0.322,0.462,0.509,0.555,1.039,1.432,1.532,1.545,1.566
2013-04-12,0.118,0.129,0.167,0.23,0.256,0.303,0.421,0.561,0.592,0.623,1.09,1.476,1.576,1.584,1.599
2013-04-15,0.11,0.13,0.174,0.242,0.271,0.335,0.445,0.58,0.617,0.648,1.126,1.528,1.631,1.64,1.652
2013-04-16,0.11,0.13,0.168,0.227,0.263,0.314,0.404,0.525,0.563,0.595,1.09,1.501,1.614,1.633,1.648
2013-04-17,0.11,0.13,0.163,0.212,0.249,0.305,0.406,0.525,0.569,0.604,1.11,1.533,1.647,1.668,1.696
2013-04-18,0.111,0.13,0.16,0.204,0.239,0.281,0.376,0.484,0.546,0.589,1.071,1.501,1.609,1.633,1.666
2013-04-19,0.111,0.125,0.147,0.193,0.224,0.271,0.366,0.458,0.534,0.584,1.025,1.442,1.552,1.581,1.625
2013-04-22,0.112,0.125,0.147,0.199,0.23,0.291,0.392,0.484,0.559,0.612,1.062,1.482,1.6,1.628,1.676
2013-04-23,0.112,0.12,0.146,0.197,0.226,0.275,0.366,0.459,0.534,0.589,1.037,1.454,1.574,1.606,1.659
2013-04-24,0.113,0.12,0.148,0.201,0.229,0.279,0.371,0.47,0.544,0.6,1.053,1.485,1.6,1.629,1.683
2013-04-25,0.113,0.123,0.152,0.206,0.237,0.278,0.362,0.455,0.529,0.585,1.038,1.486,1.605,1.637,1.697
2013-04-26,0.113,0.124,0.156,0.216,0.248,0.289,0.37,0.464,0.538,0.594,1.045,1.483,1.598,1.631,1.693
2013-04-30,0.115,0.122,0.156,0.217,0.25,0.298,0.383,0.475,0.549,0.611,1.06,1.49,1.592,1.623,1.687
2013-05-01,0.115,0.115,0.143,0.202,0.235,0.278,0.361,0.455,0.529,0.591,1.04,1.468,1.572,1.611,1.672
2013-05-02,0.105,0.111,0.132,0.185,0.217,0.247,0.326,0.42,0.5,0.563,1.025,1.458,1.568,1.611,1.672
2013-05-07,0.107,0.112,0.135,0.193,0.233,0.275,0.365,0.458,0.535,0.598,1.057,1.49,1.601,1.647,1.701
2013-05-08,0.108,0.113,0.135,0.188,0.229,0.271,0.365,0.459,0.535,0.598,1.062,1.504,1.611,1.66,1.714
2013-05-09,0.108,0.113,0.135,0.188,0.23,0.272,0.365,0.459,0.535,0.599,1.067,1.51,1.625,1.682,1.734
2013-05-10,0.109,0.113,0.16,0.237,0.287,0.351,0.47,0.565,0.64,0.7,1.144,1.563,1.672,1.725,1.779
2013-05-13,0.11,0.125,0.188,0.278,0.339,0.419,0.547,0.646,0.719,0.778,1.222,1.615,1.719,1.767,1.82
