date,z,diff2y,side,z_th
2015-01-16,2.447,0.465,high_descriptive,1.5
2015-01-26,1.694,0.535,high_descriptive,1.5
2015-03-19,1.517,0.565,high_descriptive,1.5
2015-03-30,1.56,0.545,high_descriptive,1.5
2015-04-06,2.336,0.475,high_descriptive,1.5
2015-04-16,1.685,0.505,high_descriptive,1.5
2015-07-09,1.544,0.545,high_descriptive,1.5
2015-12-09,-1.502,0.97,low,1.5
2015-12-18,-1.832,1.03,low,1.5
2016-01-25,-1.642,0.901,low,1.5
2016-02-03,-1.596,0.902,low,1.5
2016-03-15,-1.655,1.139,low,1.5
2016-03-30,-1.836,1.004,low,1.5
2016-04-28,-2.034,1.079,low,1.5
2016-06-03,-1.553,1.13,low,1.5
2016-07-29,-1.768,1.065,low,1.5
2016-09-06,-1.532,0.993,low,1.5
2016-09-26,-1.557,0.992,low,1.5
2017-03-03,-1.512,1.596,low,1.5
2017-03-14,-1.503,1.659,low,1.5
2017-04-11,-1.855,1.509,low,1.5
2017-04-18,-1.538,1.43,low,1.5
2017-06-14,-1.519,1.489,low,1.5
2017-08-28,-1.698,1.507,low,1.5
2017-09-05,-1.698,1.511,low,1.5
2018-01-11,-1.505,2.109,low,1.5
2018-01-18,-1.573,2.18,low,1.5
2018-02-05,-2.106,2.281,low,1.5
2018-03-21,-1.593,2.496,low,1.5
2018-05-17,1.515,2.72,high_descriptive,1.5
2018-07-11,1.583,2.717,high_descriptive,1.5
2018-09-18,1.53,2.893,high_descriptive,1.5
2019-01-02,-1.7,2.619,low,1.5
2019-01-09,-1.873,2.727,low,1.5
2019-01-22,-1.523,2.787,low,1.5
2019-02-11,1.543,2.616,high_descriptive,1.5
2019-02-25,1.653,2.658,high_descriptive,1.5
2019-03-21,1.941,2.562,high_descriptive,1.5
2019-08-05,-1.989,1.925,low,1.5
2019-08-14,-1.614,1.951,low,1.5
2019-08-23,-1.942,1.923,low,1.5
2019-10-21,1.528,1.824,high_descriptive,1.5
2019-10-28,1.547,1.873,high_descriptive,1.5
2019-11-05,1.57,1.874,high_descriptive,1.5
2019-11-26,1.5,1.801,high_descriptive,1.5
2019-12-12,1.766,1.718,high_descriptive,1.5
2020-01-08,1.512,1.661,high_descriptive,1.5
2020-01-28,1.597,1.584,high_descriptive,1.5
2020-02-04,1.929,1.525,high_descriptive,1.5
2020-03-09,-2.321,0.777,low,1.5
2020-03-18,1.678,0.661,high_descriptive,1.5
2020-07-27,-1.744,0.276,low,1.5
2020-08-18,-1.658,0.259,low,1.5
2020-08-28,-1.562,0.275,low,1.5
2020-09-16,-1.7,0.283,low,1.5
2020-10-21,-1.742,0.281,low,1.5
2020-11-13,-1.517,0.313,low,1.5
2020-11-24,-1.511,0.311,low,1.5
2020-12-03,-1.78,0.29,low,1.5
2020-12-10,-1.629,0.297,low,1.5
2021-11-23,-2.017,0.765,low,1.5
2021-12-02,-1.567,0.68,low,1.5
2021-12-16,-1.616,0.802,low,1.5
