proposal,entry_type,dow_regime,v2_regime,proposal_N,proposal_WR,proposal_EV_pip,proposal_PF,proposal_Wilson_lo,share_of_proposal_N,N,wins,WR,EV_pip,PF,Wilson_lo,Kelly
gbp_deep_pullback__regime_CHOP,gbp_deep_pullback,CHOP,moderate_trend,52,0.634615,0.271536,1.16388,0.498714,0.384615,20,13,0.65,0.518322,1.368373,0.432851,0.174983
gbp_deep_pullback__regime_CHOP,gbp_deep_pullback,CHOP,no_go,52,0.634615,0.271536,1.16388,0.498714,0.615385,32,20,0.625,0.117295,1.064693,0.452541,0.037977
htf_false_breakout__regime_CHOP,htf_false_breakout,CHOP,moderate_trend,38,0.657895,0.321725,1.592118,0.498918,0.052632,2,2,1.0,1.9156,inf,0.342372,1.0
htf_false_breakout__regime_CHOP,htf_false_breakout,CHOP,no_go,38,0.657895,0.321725,1.592118,0.498918,0.947368,36,23,0.638889,0.233176,1.406562,0.475748,0.184669
post_news_vol__regime_CHOP,post_news_vol,CHOP,moderate_trend,39,0.717949,1.145583,2.335231,0.562244,0.230769,9,6,0.666667,0.995458,2.3428,0.354197,0.382107
post_news_vol__regime_CHOP,post_news_vol,CHOP,no_go,39,0.717949,1.145583,2.335231,0.562244,0.769231,30,22,0.733333,1.19062,2.333346,0.555517,0.419049
session_time_bias__regime_TRENDING,session_time_bias,TRENDING,moderate_trend,209,0.665072,0.256521,1.409391,0.598615,0.148325,31,21,0.677419,0.265832,1.430038,0.501407,0.203712
session_time_bias__regime_TRENDING,session_time_bias,TRENDING,no_go,209,0.665072,0.256521,1.409391,0.598615,0.851675,178,118,0.662921,0.254899,1.405852,0.590685,0.191377
session_time_bias__regime_RANGING,session_time_bias,RANGING,moderate_trend,263,0.608365,0.04172,1.054921,0.548217,0.239544,63,33,0.52381,-0.235448,0.745473,0.402701,-0.178844
session_time_bias__regime_RANGING,session_time_bias,RANGING,no_go,263,0.608365,0.04172,1.054921,0.548217,0.760456,200,127,0.635,0.129028,1.182361,0.566316,0.097939
session_time_bias__regime_CHOP,session_time_bias,CHOP,moderate_trend,757,0.602378,0.035271,1.046767,0.567081,0.142668,108,56,0.518519,-0.215395,0.760792,0.425277,-0.163033
session_time_bias__regime_CHOP,session_time_bias,CHOP,no_go,757,0.602378,0.035271,1.046767,0.567081,0.857332,649,400,0.616333,0.076985,1.105479,0.57834,0.058807
sr_anti_hunt_bounce__regime_CHOP,sr_anti_hunt_bounce,CHOP,moderate_trend,49,0.816327,3.915144,4.320264,0.686421,0.122449,6,4,0.666667,0.145374,1.053176,0.299988,0.033661
sr_anti_hunt_bounce__regime_CHOP,sr_anti_hunt_bounce,CHOP,no_go,49,0.816327,3.915144,4.320264,0.686421,0.877551,43,36,0.837209,4.441158,5.615462,0.700273,0.688119
streak_reversal__regime_TRENDING,streak_reversal,TRENDING,moderate_trend,105,0.752381,1.227411,3.159914,0.661895,0.066667,7,4,0.571429,0.10581,1.080912,0.250454,0.042774
streak_reversal__regime_TRENDING,streak_reversal,TRENDING,no_go,105,0.752381,1.227411,3.159914,0.661895,0.933333,98,75,0.765306,1.307525,3.536665,0.672381,0.548914
streak_reversal__regime_RANGING,streak_reversal,RANGING,moderate_trend,94,0.744681,1.003243,2.316252,0.64814,0.148936,14,10,0.714286,0.874029,2.277755,0.453505,0.400694
streak_reversal__regime_RANGING,streak_reversal,RANGING,no_go,94,0.744681,1.003243,2.316252,0.64814,0.851064,80,60,0.75,1.025855,2.322191,0.645151,0.427029
streak_reversal__regime_CHOP,streak_reversal,CHOP,moderate_trend,273,0.677656,0.795716,1.99513,0.620079,0.102564,28,13,0.464286,-0.396922,0.690323,0.295313,-0.208277
streak_reversal__regime_CHOP,streak_reversal,CHOP,no_go,273,0.677656,0.795716,1.99513,0.620079,0.897436,245,172,0.702041,0.932018,2.251853,0.642009,0.390279
trendline_sweep__regime_RANGING,trendline_sweep,RANGING,moderate_trend,53,0.698113,0.088294,1.086062,0.564629,0.245283,13,9,0.692308,-0.058941,0.955042,0.423689,-0.03259
trendline_sweep__regime_RANGING,trendline_sweep,RANGING,no_go,53,0.698113,0.088294,1.086062,0.564629,0.754717,40,28,0.7,0.136145,1.145879,0.545697,0.089115
trendline_sweep__regime_CHOP,trendline_sweep,CHOP,moderate_trend,92,0.75,0.762137,2.070795,0.65271,0.152174,14,13,0.928571,1.450807,8.616629,0.685307,0.820806
trendline_sweep__regime_CHOP,trendline_sweep,CHOP,no_go,92,0.75,0.762137,2.070795,0.65271,0.847826,78,56,0.717949,0.63853,1.792899,0.609689,0.317509
turtle_soup__regime_CHOP,turtle_soup,CHOP,moderate_trend,31,0.677419,0.32958,1.430869,0.501407,0.129032,4,2,0.5,0.12678,1.127632,0.150036,0.056593
turtle_soup__regime_CHOP,turtle_soup,CHOP,no_go,31,0.677419,0.32958,1.430869,0.501407,0.870968,27,19,0.703704,0.359624,1.491907,0.51519,0.232023
vix_carry_unwind__regime_TRENDING,vix_carry_unwind,TRENDING,moderate_trend,51,0.686275,0.561288,1.535967,0.549727,0.117647,6,5,0.833333,1.343432,3.458464,0.436491,0.592379
vix_carry_unwind__regime_TRENDING,vix_carry_unwind,TRENDING,no_go,51,0.686275,0.561288,1.535967,0.549727,0.882353,45,30,0.666667,0.457002,1.41023,0.520702,0.19393
vix_carry_unwind__regime_CHOP,vix_carry_unwind,CHOP,moderate_trend,41,0.780488,0.954238,2.208247,0.632947,0.219512,9,7,0.777778,0.893683,2.049273,0.452583,0.398239
vix_carry_unwind__regime_CHOP,vix_carry_unwind,CHOP,no_go,41,0.780488,0.954238,2.208247,0.632947,0.780488,32,25,0.78125,0.971268,2.257554,0.612447,0.43519
xs_momentum__regime_TRENDING,xs_momentum,TRENDING,moderate_trend,325,0.646154,0.163963,1.258294,0.592736,0.04,13,8,0.615385,-0.013488,0.981083,0.355225,-0.011866
xs_momentum__regime_TRENDING,xs_momentum,TRENDING,no_go,325,0.646154,0.163963,1.258294,0.592736,0.96,312,202,0.647436,0.171357,1.271335,0.592921,0.138179
xs_momentum__regime_CHOP,xs_momentum,CHOP,moderate_trend,415,0.616867,0.037077,1.050705,0.569224,0.110843,46,33,0.717391,0.337746,1.58754,0.574512,0.265503
xs_momentum__regime_CHOP,xs_momentum,CHOP,no_go,415,0.616867,0.037077,1.050705,0.569224,0.889157,369,223,0.604336,-0.000405,0.999461,0.553613,-0.000326
