entry_type,dow_regime,v2_regime,N,wins,WR,EV_pip,PF,Wilson_lo,Kelly,m_eff,alpha_prime,p_value,bonferroni_pass
streak_reversal,CHOP,no_go,245,172,0.702041,0.932018,2.251853,0.642009,0.390279,46,0.0010869565217391304,1.0944722282377563e-10,True
session_time_bias,CHOP,no_go,649,400,0.616333,0.076985,1.105479,0.57834,0.058807,46,0.0010869565217391304,1.6697491996904048e-09,True
streak_reversal,TRENDING,no_go,98,75,0.765306,1.307525,3.536665,0.672381,0.548914,46,0.0010869565217391304,6.586121060327427e-08,True
xs_momentum,TRENDING,no_go,312,202,0.647436,0.171357,1.271335,0.592921,0.138179,46,0.0010869565217391304,1.0620473175976103e-07,True
streak_reversal,RANGING,no_go,80,60,0.75,1.025855,2.322191,0.645151,0.427029,46,0.0010869565217391304,4.290279933524806e-06,True
sr_anti_hunt_bounce,CHOP,no_go,43,36,0.837209,4.441158,5.615462,0.700273,0.688119,46,0.0010869565217391304,4.481519681576174e-06,True
session_time_bias,TRENDING,no_go,178,118,0.662921,0.254899,1.405852,0.590685,0.191377,46,0.0010869565217391304,8.22988506687963e-06,True
trendline_sweep,CHOP,no_go,78,56,0.717949,0.63853,1.792899,0.609689,0.317509,46,0.0010869565217391304,7.474076936188761e-05,True
session_time_bias,RANGING,no_go,200,127,0.635,0.129028,1.182361,0.566316,0.097939,46,0.0010869565217391304,8.209262515820035e-05,True
vix_carry_unwind,CHOP,no_go,32,25,0.78125,0.971268,2.257554,0.612447,0.43519,46,0.0010869565217391304,0.0010512007866054773,True
xs_momentum,CHOP,no_go,369,223,0.604336,-0.000405,0.999461,0.553613,-0.000326,46,0.0010869565217391304,3.598171198755104e-05,False
xs_momentum,CHOP,moderate_trend,46,33,0.717391,0.337746,1.58754,0.574512,0.265503,46,0.0010869565217391304,0.0022669307910945236,False
post_news_vol,CHOP,no_go,30,22,0.733333,1.19062,2.333346,0.555517,0.419049,46,0.0010869565217391304,0.008062400855123998,False
trendline_sweep,RANGING,no_go,40,28,0.7,0.136145,1.145879,0.545697,0.089115,46,0.0010869565217391304,0.008294501687487355,False
dual_sr_bounce,CHOP,no_go,98,60,0.612245,0.082945,1.128379,0.513285,0.069657,46,0.0010869565217391304,0.016680014448471003,False
vix_carry_unwind,TRENDING,no_go,45,30,0.666667,0.457002,1.41023,0.520702,0.19393,46,0.0010869565217391304,0.017848901777597348,False
sr_fib_confluence,CHOP,no_go,388,215,0.554124,-0.089154,0.87417,0.504374,-0.079762,46,0.0010869565217391304,0.018627691022942768,False
intraday_seasonality,CHOP,no_go,93,56,0.602151,-0.021142,0.972003,0.500529,-0.017344,46,0.0010869565217391304,0.030692949352229763,False
session_time_bias,TRENDING,moderate_trend,31,21,0.677419,0.265832,1.430038,0.501407,0.203712,46,0.0010869565217391304,0.035377772990614176,False
sr_fib_confluence,CHOP,moderate_trend,79,48,0.607595,0.064462,1.099629,0.497338,0.05505,46,0.0010869565217391304,0.035581704347645605,False
sr_fib_confluence,RANGING,no_go,141,81,0.574468,-0.029335,0.954604,0.491948,-0.027319,46,0.0010869565217391304,0.04588461468405219,False
htf_false_breakout,CHOP,no_go,36,23,0.638889,0.233176,1.406562,0.475748,0.184669,46,0.0010869565217391304,0.06624908198136838,False
wick_imbalance_reversion,CHOP,no_go,60,36,0.6,-0.031278,0.959941,0.473658,-0.025039,46,0.0010869565217391304,0.0775009520016303,False
ema200_trend_reversal,CHOP,no_go,35,22,0.628571,-0.015499,0.976234,0.463366,-0.015302,46,0.0010869565217391304,0.087732624495402,False
gbp_deep_pullback,CHOP,no_go,32,20,0.625,0.117295,1.064693,0.452541,0.037977,46,0.0010869565217391304,0.10766357486136258,False
dt_fib_reversal,CHOP,no_go,40,24,0.6,-0.059752,0.909329,0.445956,-0.059827,46,0.0010869565217391304,0.13409362552738457,False
sr_break_retest,CHOP,no_go,57,33,0.578947,-0.173857,0.765349,0.449799,-0.177502,46,0.0010869565217391304,0.14462187355451026,False
intraday_seasonality,TRENDING,no_go,40,23,0.575,-0.184613,0.780116,0.421948,-0.16207,46,0.0010869565217391304,0.21479525392169307,False
london_fix_reversal,RANGING,no_go,42,24,0.571429,0.066002,1.125995,0.42206,0.063941,46,0.0010869565217391304,0.22039953367129783,False
dual_sr_bounce,RANGING,no_go,32,18,0.5625,-0.12583,0.836783,0.393253,-0.109717,46,0.0010869565217391304,0.29830744792707264,False
dt_bb_rsi_mr,RANGING,no_go,64,34,0.53125,-0.03923,0.915572,0.410719,-0.048988,46,0.0010869565217391304,0.35399037706738207,False
session_time_bias,CHOP,moderate_trend,108,56,0.518519,-0.215395,0.760792,0.425277,-0.163033,46,0.0010869565217391304,0.3864942647992668,False
session_time_bias,RANGING,moderate_trend,63,33,0.52381,-0.235448,0.745473,0.402701,-0.178844,46,0.0010869565217391304,0.40065324625203314,False
london_fix_reversal,CHOP,no_go,67,35,0.522388,-0.08864,0.858303,0.40485,-0.086241,46,0.0010869565217391304,0.40359734568351235,False
sr_fib_confluence,RANGING,moderate_trend,38,20,0.526316,-0.198954,0.737841,0.372587,-0.187002,46,0.0010869565217391304,0.43570733968226705,False
dt_sr_channel_reversal,RANGING,no_go,42,22,0.52381,0.029644,1.061462,0.377222,0.03033,46,0.0010869565217391304,0.4388071643761577,False
orb_trap,CHOP,no_go,42,22,0.52381,-0.247052,0.71995,0.377222,-0.203754,46,0.0010869565217391304,0.4388071643761577,False
ema200_trend_reversal,RANGING,no_go,32,16,0.5,-0.3554,0.611803,0.336306,-0.317257,46,0.0010869565217391304,0.5699749670457095,False
dt_bb_rsi_mr,CHOP,no_go,145,71,0.489655,-0.134809,0.746368,0.409611,-0.166395,46,0.0010869565217391304,0.6300592126408597,False
intraday_seasonality,RANGING,no_go,33,16,0.484848,-0.599537,0.464089,0.325038,-0.559884,46,0.0010869565217391304,0.6358337595593184,False
vol_spike_mr,CHOP,no_go,42,20,0.47619,-0.21884,0.723576,0.333594,-0.181917,46,0.0010869565217391304,0.6780155218148138,False
dt_bb_rsi_mr,TRENDING,no_go,32,14,0.4375,-0.310781,0.543024,0.281651,-0.368173,46,0.0010869565217391304,0.8114572062622756,False
xs_momentum,RANGING,no_go,53,23,0.433962,-0.521715,0.512325,0.309502,-0.413083,46,0.0010869565217391304,0.8641604169672483,False
dt_sr_channel_reversal,CHOP,no_go,102,45,0.441176,-0.279299,0.589569,0.348692,-0.307127,46,0.0010869565217391304,0.9011050684659583,False
dt_sr_channel_reversal,TRENDING,no_go,39,14,0.358974,-0.603434,0.27587,0.227419,-0.94227,46,0.0010869565217391304,0.9733740429510362,False
dt_bb_rsi_mr,CHOP,moderate_trend,51,17,0.333333,-0.369792,0.474319,0.219698,-0.369429,46,0.0010869565217391304,0.9945132185501397,False
