entry_type,dow_regime,v2_regime,N,wins,WR,EV_pip,PF,Wilson_lo,Kelly
adx_trend_continuation,CHOP,no_go,7,4,0.571429,0.481894,1.533125,0.250454,0.198707
adx_trend_continuation,TRENDING,no_go,8,4,0.5,-0.324016,0.720403,0.215213,-0.194056
atr_regime_break,TRENDING,no_go,1,0,0.0,-2.0337,0.0,0.0,-1.0
doji_breakout,CHOP,moderate_trend,2,2,1.0,1.98565,inf,0.342372,1.0
doji_breakout,CHOP,no_go,15,10,0.666667,0.182083,1.251943,0.417131,0.134161
doji_breakout,RANGING,no_go,9,6,0.666667,0.29922,1.403121,0.354197,0.191535
doji_breakout,TRENDING,no_go,6,3,0.5,-0.410474,0.636175,0.187613,-0.285948
dt_bb_rsi_mr,CHOP,moderate_trend,51,21,0.411765,-0.193524,0.675635,0.287542,-0.197684
dt_bb_rsi_mr,CHOP,no_go,145,67,0.462069,-0.196807,0.654172,0.382946,-0.244273
dt_bb_rsi_mr,RANGING,moderate_trend,22,11,0.5,-0.160949,0.762924,0.307218,-0.155373
dt_bb_rsi_mr,RANGING,no_go,67,34,0.507463,-0.10518,0.790998,0.390636,-0.134084
dt_bb_rsi_mr,TRENDING,moderate_trend,11,6,0.545455,-0.120022,0.799729,0.280088,-0.136594
dt_bb_rsi_mr,TRENDING,no_go,30,13,0.433333,-0.303917,0.564813,0.273772,-0.333882
dt_fib_reversal,CHOP,moderate_trend,6,3,0.5,-0.411706,0.5611,0.187613,-0.391107
dt_fib_reversal,CHOP,no_go,39,24,0.615385,-0.018145,0.971324,0.458988,-0.018168
dt_fib_reversal,RANGING,moderate_trend,6,3,0.5,-0.424118,0.502694,0.187613,-0.494641
dt_fib_reversal,RANGING,no_go,22,16,0.727273,0.417836,2.12793,0.518479,0.385498
dt_fib_reversal,TRENDING,moderate_trend,1,0,0.0,-1.978,0.0,0.0,-1.0
dt_fib_reversal,TRENDING,no_go,6,5,0.833333,0.89159,3.682201,0.436491,0.607019
dt_sr_channel_reversal,CHOP,moderate_trend,8,5,0.625,0.050319,1.12012,0.305738,0.067024
dt_sr_channel_reversal,CHOP,no_go,100,44,0.44,-0.281652,0.588493,0.346719,-0.307672
dt_sr_channel_reversal,RANGING,moderate_trend,6,3,0.5,-0.229258,0.678032,0.187613,-0.237428
dt_sr_channel_reversal,RANGING,no_go,40,21,0.525,0.048622,1.105697,0.374971,0.050187
dt_sr_channel_reversal,TRENDING,moderate_trend,1,0,0.0,-0.8449,0.0,0.0,-1.0
dt_sr_channel_reversal,TRENDING,no_go,39,14,0.358974,-0.603434,0.27587,0.227419,-0.94227
