entry_type,baseline_N,dow_regime,v2_regime,N,wins,WR,EV_pip,PF,Wilson_lo,Kelly
session_time_bias,1229,TRENDING,moderate_trend,31,21,0.677419,0.265832,1.430038,0.501407,0.203712
session_time_bias,1229,TRENDING,no_go,178,118,0.662921,0.254899,1.405852,0.590685,0.191377
session_time_bias,1229,RANGING,moderate_trend,63,33,0.52381,-0.235448,0.745473,0.402701,-0.178844
session_time_bias,1229,RANGING,no_go,200,127,0.635,0.129028,1.182361,0.566316,0.097939
session_time_bias,1229,CHOP,moderate_trend,108,56,0.518519,-0.215395,0.760792,0.425277,-0.163033
session_time_bias,1229,CHOP,no_go,649,400,0.616333,0.076985,1.105479,0.57834,0.058807
xs_momentum,810,TRENDING,moderate_trend,13,8,0.615385,-0.013488,0.981083,0.355225,-0.011866
xs_momentum,810,TRENDING,no_go,312,202,0.647436,0.171357,1.271335,0.592921,0.138179
xs_momentum,810,RANGING,moderate_trend,17,11,0.647059,0.1405,1.208958,0.413,0.111839
xs_momentum,810,RANGING,no_go,53,23,0.433962,-0.521715,0.512325,0.309502,-0.413083
xs_momentum,810,CHOP,moderate_trend,46,33,0.717391,0.337746,1.58754,0.574512,0.265503
xs_momentum,810,CHOP,no_go,369,223,0.604336,-0.000405,0.999461,0.553613,-0.000326
sr_fib_confluence,675,TRENDING,moderate_trend,1,1,1.0,1.618701,inf,0.206543,1.0
sr_fib_confluence,675,TRENDING,no_go,28,15,0.535714,-0.076218,0.889159,0.358124,-0.066781
sr_fib_confluence,675,RANGING,moderate_trend,38,20,0.526316,-0.198954,0.737841,0.372587,-0.187002
sr_fib_confluence,675,RANGING,no_go,141,81,0.574468,-0.029335,0.954604,0.491948,-0.027319
sr_fib_confluence,675,CHOP,moderate_trend,79,48,0.607595,0.064462,1.099629,0.497338,0.05505
sr_fib_confluence,675,CHOP,no_go,388,215,0.554124,-0.089154,0.87417,0.504374,-0.079762
streak_reversal,472,TRENDING,moderate_trend,7,4,0.571429,0.10581,1.080912,0.250454,0.042774
streak_reversal,472,TRENDING,no_go,98,75,0.765306,1.307525,3.536665,0.672381,0.548914
streak_reversal,472,RANGING,moderate_trend,14,10,0.714286,0.874029,2.277755,0.453505,0.400694
streak_reversal,472,RANGING,no_go,80,60,0.75,1.025855,2.322191,0.645151,0.427029
streak_reversal,472,CHOP,moderate_trend,28,13,0.464286,-0.396922,0.690323,0.295313,-0.208277
streak_reversal,472,CHOP,no_go,245,172,0.702041,0.932018,2.251853,0.642009,0.390279
dt_bb_rsi_mr,326,TRENDING,moderate_trend,9,5,0.555556,-0.054748,0.914757,0.266647,-0.05177
dt_bb_rsi_mr,326,TRENDING,no_go,32,14,0.4375,-0.310781,0.543024,0.281651,-0.368173
dt_bb_rsi_mr,326,RANGING,moderate_trend,25,11,0.44,-0.323088,0.572975,0.266654,-0.327921
dt_bb_rsi_mr,326,RANGING,no_go,64,34,0.53125,-0.03923,0.915572,0.410719,-0.048988
dt_bb_rsi_mr,326,CHOP,moderate_trend,51,17,0.333333,-0.369792,0.474319,0.219698,-0.369429
dt_bb_rsi_mr,326,CHOP,no_go,145,71,0.489655,-0.134809,0.746368,0.409611,-0.166395
dt_sr_channel_reversal,194,TRENDING,moderate_trend,1,0,0.0,-0.8449,0.0,0.0,-1.0
dt_sr_channel_reversal,194,TRENDING,no_go,39,14,0.358974,-0.603434,0.27587,0.227419,-0.94227
dt_sr_channel_reversal,194,RANGING,moderate_trend,4,2,0.5,-0.168933,0.720216,0.150036,-0.194236
dt_sr_channel_reversal,194,RANGING,no_go,42,22,0.52381,0.029644,1.061462,0.377222,0.03033
dt_sr_channel_reversal,194,CHOP,moderate_trend,6,4,0.666667,0.120973,1.304424,0.299988,0.155585
dt_sr_channel_reversal,194,CHOP,no_go,102,45,0.441176,-0.279299,0.589569,0.348692,-0.307127
intraday_seasonality,185,TRENDING,moderate_trend,2,1,0.5,-0.2559,0.712553,0.094529,-0.201703
intraday_seasonality,185,TRENDING,no_go,40,23,0.575,-0.184613,0.780116,0.421948,-0.16207
intraday_seasonality,185,RANGING,moderate_trend,3,2,0.666667,0.10897,1.18253,0.207655,0.102904
intraday_seasonality,185,RANGING,no_go,33,16,0.484848,-0.599537,0.464089,0.325038,-0.559884
intraday_seasonality,185,CHOP,moderate_trend,14,7,0.5,-0.203204,0.765559,0.267989,-0.153117
intraday_seasonality,185,CHOP,no_go,93,56,0.602151,-0.021142,0.972003,0.500529,-0.017344
dual_sr_bounce,175,TRENDING,moderate_trend,3,1,0.333333,-0.839012,0.218126,0.06149,-1.194834
dual_sr_bounce,175,TRENDING,no_go,24,11,0.458333,-0.568637,0.475673,0.278911,-0.505214
dual_sr_bounce,175,RANGING,moderate_trend,6,2,0.333333,-0.767436,0.361446,0.096769,-0.588889
dual_sr_bounce,175,RANGING,no_go,32,18,0.5625,-0.12583,0.836783,0.393253,-0.109717
dual_sr_bounce,175,CHOP,moderate_trend,12,7,0.583333,-0.052124,0.927568,0.319507,-0.045552
dual_sr_bounce,175,CHOP,no_go,98,60,0.612245,0.082945,1.128379,0.513285,0.069657
trendline_sweep,167,TRENDING,moderate_trend,3,3,1.0,2.0781,inf,0.438494,1.0
trendline_sweep,167,TRENDING,no_go,19,16,0.842105,1.30724,5.759292,0.624341,0.695888
trendline_sweep,167,RANGING,moderate_trend,13,9,0.692308,-0.058941,0.955042,0.423689,-0.03259
trendline_sweep,167,RANGING,no_go,40,28,0.7,0.136145,1.145879,0.545697,0.089115
trendline_sweep,167,CHOP,moderate_trend,14,13,0.928571,1.450807,8.616629,0.685307,0.820806
trendline_sweep,167,CHOP,no_go,78,56,0.717949,0.63853,1.792899,0.609689,0.317509
london_fix_reversal,159,TRENDING,moderate_trend,1,0,0.0,-0.6368,0.0,0.0,-1.0
london_fix_reversal,159,TRENDING,no_go,24,8,0.333333,-0.480158,0.416945,0.17972,-0.466133
london_fix_reversal,159,RANGING,moderate_trend,8,5,0.625,0.181215,1.565303,0.305738,0.225716
london_fix_reversal,159,RANGING,no_go,42,24,0.571429,0.066002,1.125995,0.42206,0.063941
london_fix_reversal,159,CHOP,moderate_trend,17,8,0.470588,-0.345794,0.514374,0.261648,-0.444287
london_fix_reversal,159,CHOP,no_go,67,35,0.522388,-0.08864,0.858303,0.40485,-0.086241
