entry_type,dow_regime,v2_regime,confluence_score,N,wins,WR,EV_pip,PF,Wilson_lo,m_eff,alpha_prime,p_value,bonferroni_pass
session_time_bias,CHOP,no_go,WEAK,179,126,0.703911,0.34642,1.576871,0.633314,46,0.0010869565217391304,2.4341579195008318e-08,True
xs_momentum,CHOP,no_go,WEAK,262,172,0.656489,0.166228,1.257266,0.597097,46,0.0010869565217391304,2.2812474620769657e-07,True
streak_reversal,CHOP,no_go,MIXED,164,114,0.695122,0.874845,2.194592,0.620866,46,0.0010869565217391304,3.165800076934887e-07,True
xs_momentum,TRENDING,no_go,WEAK,217,141,0.64977,0.18571,1.30085,0.584193,46,0.0010869565217391304,6.060279476856086e-06,True
sr_fib_confluence,CHOP,no_go,WEAK,144,97,0.673611,0.192545,1.336082,0.593381,46,0.0010869565217391304,1.877854852104241e-05,True
streak_reversal,CHOP,no_go,WEAK,78,56,0.717949,1.15285,2.784582,0.609689,46,0.0010869565217391304,7.474076936188761e-05,True
streak_reversal,TRENDING,no_go,WEAK,34,28,0.823529,1.835018,6.136176,0.664859,46,0.0010869565217391304,9.756279177963734e-05,True
trendline_sweep,CHOP,no_go,MIXED,66,48,0.727273,0.796683,2.153156,0.609575,46,0.0010869565217391304,0.00014355922483082017,True
session_time_bias,TRENDING,no_go,MIXED,131,85,0.648855,0.219232,1.347259,0.563935,46,0.0010869565217391304,0.00041602104726908164,True
streak_reversal,TRENDING,no_go,MIXED,63,45,0.714286,1.030259,2.64351,0.59297,46,0.0010869565217391304,0.00044902358933401074,True
streak_reversal,RANGING,no_go,MIXED,50,37,0.74,1.013245,2.15227,0.604466,46,0.0010869565217391304,0.0004681114554259125,True
session_time_bias,CHOP,no_go,MIXED,466,271,0.581545,-0.033204,0.957526,0.536267,46,0.0010869565217391304,0.00024953878369161735,False
session_time_bias,TRENDING,no_go,WEAK,45,33,0.733333,0.420909,1.766103,0.589609,46,0.0010869565217391304,0.001229450161048362,False
xs_momentum,TRENDING,no_go,MIXED,98,64,0.653061,0.178581,1.278976,0.55466,46,0.0010869565217391304,0.0015943392524019459,False
session_time_bias,RANGING,no_go,MIXED,153,94,0.614379,0.097369,1.134431,0.535349,46,0.0010869565217391304,0.0029013701735871914,False
sr_fib_confluence,RANGING,no_go,WEAK,51,34,0.666667,0.213159,1.429204,0.529681,46,0.0010869565217391304,0.012046453849224648,False
dual_sr_bounce,CHOP,no_go,WEAK,40,27,0.675,0.250719,1.491429,0.520175,46,0.0010869565217391304,0.01923865414210013,False
htf_false_breakout,CHOP,no_go,MIXED,36,23,0.638889,0.233176,1.406562,0.475748,46,0.0010869565217391304,0.06624908198136838,False
session_time_bias,CHOP,moderate_trend,WEAK,36,23,0.638889,0.133095,1.171319,0.475748,46,0.0010869565217391304,0.06624908198136838,False
session_time_bias,RANGING,no_go,WEAK,47,29,0.617021,-0.029808,0.963897,0.474263,46,0.0010869565217391304,0.07193254422027448,False
ema200_trend_reversal,CHOP,no_go,MIXED,33,21,0.636364,0.03331,1.052778,0.466159,46,0.0010869565217391304,0.08137782872654498,False
sr_fib_confluence,CHOP,moderate_trend,MIXED,42,26,0.619048,0.052967,1.084209,0.468138,46,0.0010869565217391304,0.08207470089155322,False
sr_fib_confluence,CHOP,moderate_trend,WEAK,30,19,0.633333,0.165297,1.27465,0.455132,46,0.0010869565217391304,0.10024421103298667,False
london_fix_reversal,RANGING,no_go,MIXED,31,19,0.612903,0.167379,1.38415,0.438238,46,0.0010869565217391304,0.14052075752988458,False
dt_fib_reversal,CHOP,no_go,MIXED,37,22,0.594595,-0.088988,0.866577,0.434857,46,0.0010869565217391304,0.1620043000439182,False
intraday_seasonality,CHOP,no_go,WEAK,43,25,0.581395,-0.060221,0.922592,0.433283,46,0.0010869565217391304,0.1801888264678837,False
session_time_bias,RANGING,moderate_trend,MIXED,46,26,0.565217,-0.064996,0.920979,0.422472,46,0.0010869565217391304,0.23069559106838256,False
intraday_seasonality,CHOP,no_go,MIXED,48,27,0.5625,-0.148212,0.824077,0.422748,46,0.0010869565217391304,0.235439506810856,False
dual_sr_bounce,CHOP,no_go,MIXED,52,29,0.557692,-0.074297,0.904821,0.423395,46,0.0010869565217391304,0.24422783468994602,False
sr_break_retest,CHOP,no_go,MIXED,41,23,0.560976,-0.234274,0.706009,0.410403,46,0.0010869565217391304,0.26635462761805684,False
wick_imbalance_reversion,CHOP,no_go,MIXED,50,27,0.54,-0.24334,0.732976,0.403986,46,0.0010869565217391304,0.3359055168826828,False
dt_bb_rsi_mr,RANGING,no_go,MIXED,61,32,0.52459,-0.081945,0.835583,0.401569,46,0.0010869565217391304,0.39907631365285895,False
sr_fib_confluence,RANGING,no_go,MIXED,89,45,0.505618,-0.213087,0.718891,0.403684,46,0.0010869565217391304,0.4999999999999999,False
dt_sr_channel_reversal,RANGING,no_go,MIXED,39,20,0.512821,0.034058,1.072185,0.361991,46,0.0010869565217391304,0.5000000000000002,False
xs_momentum,RANGING,no_go,WEAK,34,17,0.5,-0.29493,0.684407,0.340691,46,0.0010869565217391304,0.5679168797796592,False
vol_spike_mr,CHOP,no_go,MIXED,32,16,0.5,-0.07423,0.883921,0.336306,46,0.0010869565217391304,0.5699749670457095,False
xs_momentum,CHOP,no_go,MIXED,112,55,0.491071,-0.375118,0.618302,0.400329,46,0.0010869565217391304,0.6115176243151639,False
orb_trap,CHOP,no_go,MIXED,30,14,0.466667,-0.260961,0.687948,0.302321,46,0.0010869565217391304,0.707667644135654,False
session_time_bias,CHOP,moderate_trend,MIXED,76,36,0.473684,-0.324039,0.653961,0.365419,46,0.0010869565217391304,0.7167132788006575,False
sr_fib_confluence,CHOP,no_go,MIXED,251,121,0.482072,-0.256611,0.676418,0.420992,46,0.0010869565217391304,0.7360016785181046,False
london_fix_reversal,CHOP,no_go,MIXED,54,25,0.462963,-0.215578,0.697081,0.336897,46,0.0010869565217391304,0.7516912823410333,False
dt_bb_rsi_mr,TRENDING,no_go,MIXED,30,13,0.433333,-0.303917,0.564813,0.273772,46,0.0010869565217391304,0.8192026959732175,False
dt_bb_rsi_mr,CHOP,no_go,MIXED,141,64,0.453901,-0.210918,0.636217,0.374032,46,0.0010869565217391304,0.8808564968569238,False
dt_sr_channel_reversal,CHOP,no_go,MIXED,92,40,0.434783,-0.312537,0.562047,0.338114,46,0.0010869565217391304,0.9125080507685192,False
dt_bb_rsi_mr,CHOP,moderate_trend,MIXED,45,18,0.4,-0.179737,0.689265,0.270247,46,0.0010869565217391304,0.9324217745771648,False
dt_sr_channel_reversal,TRENDING,no_go,MIXED,34,11,0.323529,-0.642845,0.238171,0.191315,46,0.0010869565217391304,0.9878467449452728,False
