entry_type,dow_regime,v2_regime,confluence_score,N,wins,WR,EV_pip,PF,Wilson_lo
adx_trend_continuation,CHOP,no_go,MIXED,5,2,0.4,-0.502308,0.603066,0.117618
adx_trend_continuation,CHOP,no_go,WEAK,2,2,1.0,2.9424,inf,0.342372
adx_trend_continuation,TRENDING,no_go,MIXED,6,3,0.5,-0.330784,0.721543,0.187613
adx_trend_continuation,TRENDING,no_go,WEAK,2,1,0.5,-0.303711,0.716611,0.094529
atr_regime_break,TRENDING,no_go,MIXED,1,0,0.0,-2.0337,0.0,0.0
doji_breakout,CHOP,moderate_trend,MIXED,2,2,1.0,1.98565,inf,0.342372
doji_breakout,CHOP,no_go,MIXED,12,8,0.666667,0.084085,1.111329,0.390618
doji_breakout,CHOP,no_go,WEAK,3,2,0.666667,0.574078,1.96898,0.207655
doji_breakout,RANGING,no_go,MIXED,7,4,0.571429,-0.131217,0.862503,0.250454
doji_breakout,RANGING,no_go,WEAK,2,2,1.0,1.80575,inf,0.342372
doji_breakout,TRENDING,no_go,MIXED,5,2,0.4,-0.860209,0.364625,0.117618
doji_breakout,TRENDING,no_go,WEAK,1,1,1.0,1.8382,inf,0.206543
dt_bb_rsi_mr,CHOP,moderate_trend,MIXED,45,18,0.4,-0.179737,0.689265,0.270247
dt_bb_rsi_mr,CHOP,moderate_trend,WEAK,6,3,0.5,-0.296924,0.594983,0.187613
dt_bb_rsi_mr,CHOP,no_go,MIXED,141,64,0.453901,-0.210918,0.636217,0.374032
dt_bb_rsi_mr,CHOP,no_go,WEAK,4,3,0.75,0.300619,2.566946,0.300636
dt_bb_rsi_mr,RANGING,moderate_trend,MIXED,21,11,0.52381,-0.118313,0.820987,0.323692
dt_bb_rsi_mr,RANGING,moderate_trend,WEAK,1,0,0.0,-1.0563,0.0,0.0
dt_bb_rsi_mr,RANGING,no_go,MIXED,61,32,0.52459,-0.081945,0.835583,0.401569
dt_bb_rsi_mr,RANGING,no_go,WEAK,6,2,0.333333,-0.341394,0.382129,0.096769
dt_bb_rsi_mr,TRENDING,moderate_trend,MIXED,10,5,0.5,-0.18845,0.714136,0.23659
dt_bb_rsi_mr,TRENDING,moderate_trend,WEAK,1,1,1.0,0.564257,inf,0.206543
dt_bb_rsi_mr,TRENDING,no_go,MIXED,30,13,0.433333,-0.303917,0.564813,0.273772
dt_fib_reversal,CHOP,moderate_trend,MIXED,6,3,0.5,-0.411706,0.5611,0.187613
dt_fib_reversal,CHOP,no_go,MIXED,37,22,0.594595,-0.088988,0.866577,0.434857
dt_fib_reversal,CHOP,no_go,WEAK,2,2,1.0,1.29245,inf,0.342372
dt_fib_reversal,RANGING,moderate_trend,MIXED,6,3,0.5,-0.424118,0.502694,0.187613
dt_fib_reversal,RANGING,no_go,MIXED,21,15,0.714286,0.371442,1.957115,0.500432
dt_fib_reversal,RANGING,no_go,WEAK,1,1,1.0,1.3921,inf,0.206543
dt_fib_reversal,TRENDING,moderate_trend,MIXED,1,0,0.0,-1.978,0.0,0.0
dt_fib_reversal,TRENDING,no_go,MIXED,6,5,0.833333,0.89159,3.682201,0.436491
dt_sr_channel_reversal,CHOP,moderate_trend,MIXED,7,5,0.714286,0.195648,1.574398,0.358929
dt_sr_channel_reversal,CHOP,moderate_trend,WEAK,1,0,0.0,-0.966983,0.0,0.0
dt_sr_channel_reversal,CHOP,no_go,MIXED,92,40,0.434783,-0.312537,0.562047,0.338114
dt_sr_channel_reversal,CHOP,no_go,WEAK,8,4,0.5,0.073521,1.210806,0.215213
dt_sr_channel_reversal,RANGING,moderate_trend,MIXED,6,3,0.5,-0.229258,0.678032,0.187613
dt_sr_channel_reversal,RANGING,no_go,MIXED,39,20,0.512821,0.034058,1.072185,0.361991
dt_sr_channel_reversal,RANGING,no_go,WEAK,1,1,1.0,0.616633,inf,0.206543
dt_sr_channel_reversal,TRENDING,moderate_trend,MIXED,1,0,0.0,-0.8449,0.0,0.0
dt_sr_channel_reversal,TRENDING,no_go,MIXED,34,11,0.323529,-0.642845,0.238171,0.191315
dt_sr_channel_reversal,TRENDING,no_go,WEAK,5,3,0.6,-0.335433,0.55977,0.23072
dual_sr_bounce,CHOP,moderate_trend,MIXED,8,5,0.625,0.069142,1.115469,0.305738
dual_sr_bounce,CHOP,moderate_trend,WEAK,10,6,0.6,0.078467,1.127315,0.31267
dual_sr_bounce,CHOP,no_go,MIXED,52,29,0.557692,-0.074297,0.904821,0.423395
dual_sr_bounce,CHOP,no_go,WEAK,40,27,0.675,0.250719,1.491429,0.520175
dual_sr_bounce,RANGING,moderate_trend,MIXED,2,1,0.5,-0.65295,0.500057,0.094529
dual_sr_bounce,RANGING,moderate_trend,WEAK,2,1,0.5,-0.448201,0.497505,0.094529
dual_sr_bounce,RANGING,no_go,MIXED,13,6,0.461538,-0.536604,0.444901,0.232058
dual_sr_bounce,RANGING,no_go,WEAK,21,12,0.571429,0.026046,1.036665,0.365462
dual_sr_bounce,TRENDING,moderate_trend,MIXED,2,0,0.0,-1.609619,0.0,0.0
dual_sr_bounce,TRENDING,no_go,MIXED,15,9,0.6,-0.441394,0.584654,0.357464
dual_sr_bounce,TRENDING,no_go,WEAK,10,3,0.3,-0.632417,0.373067,0.107789
ema200_trend_reversal,CHOP,moderate_trend,MIXED,1,0,0.0,-1.522708,0.0,0.0
ema200_trend_reversal,CHOP,no_go,MIXED,33,21,0.636364,0.03331,1.052778,0.466159
ema200_trend_reversal,CHOP,no_go,WEAK,4,2,0.5,-0.5134,0.461139,0.150036
ema200_trend_reversal,RANGING,moderate_trend,MIXED,4,3,0.75,0.105775,1.175502,0.300636
ema200_trend_reversal,RANGING,no_go,MIXED,26,12,0.461538,-0.4849,0.519683,0.287556
ema200_trend_reversal,RANGING,no_go,WEAK,5,3,0.6,0.041819,1.068593,0.23072
ema200_trend_reversal,TRENDING,no_go,MIXED,2,2,1.0,0.86245,inf,0.342372
ema_cross,CHOP,moderate_trend,MIXED,1,0,0.0,-2.373933,0.0,0.0
ema_cross,CHOP,moderate_trend,WEAK,3,2,0.666667,0.144939,1.249164,0.207655
ema_cross,CHOP,no_go,MIXED,15,5,0.333333,-0.886726,0.314676,0.151761
ema_cross,CHOP,no_go,WEAK,10,5,0.5,-0.290694,0.69967,0.23659
ema_cross,TRENDING,moderate_trend,MIXED,2,2,1.0,1.2846,inf,0.342372
ema_cross,TRENDING,no_go,MIXED,9,6,0.666667,0.253043,1.414535,0.354197
ema_cross,TRENDING,no_go,WEAK,6,4,0.666667,0.143164,1.187302,0.299988
gbp_deep_pullback,CHOP,moderate_trend,MIXED,13,9,0.692308,0.987062,2.126684,0.423689
gbp_deep_pullback,CHOP,moderate_trend,WEAK,7,4,0.571429,-0.352195,0.852833,0.250454
gbp_deep_pullback,CHOP,no_go,MIXED,14,10,0.714286,0.608598,1.424983,0.453505
gbp_deep_pullback,CHOP,no_go,WEAK,18,10,0.555556,-0.26483,0.874455,0.337161
gbp_deep_pullback,RANGING,moderate_trend,MIXED,1,0,0.0,-5.3956,0.0,0.0
gbp_deep_pullback,RANGING,moderate_trend,WEAK,2,2,1.0,2.9758,inf,0.342372
gbp_deep_pullback,RANGING,no_go,MIXED,6,2,0.333333,-1.270733,0.316583,0.096769
gbp_deep_pullback,RANGING,no_go,WEAK,8,6,0.75,2.136087,4.942667,0.40927
gbp_deep_pullback,TRENDING,moderate_trend,MIXED,5,1,0.2,-1.803028,0.28163,0.036223
gbp_deep_pullback,TRENDING,moderate_trend,WEAK,1,1,1.0,2.3879,inf,0.206543
gbp_deep_pullback,TRENDING,no_go,MIXED,15,10,0.666667,0.533063,1.448459,0.417131
gbp_deep_pullback,TRENDING,no_go,WEAK,7,5,0.714286,2.308357,5.807933,0.358929
