entry_type,confluence_score,N,wins,WR,EV_pip,PF,Wilson_lo
adx_trend_continuation,MIXED,11,5,0.454545,-0.408749,0.665827,0.21271
adx_trend_continuation,WEAK,4,3,0.75,1.319344,3.462126,0.300636
atr_regime_break,MIXED,1,0,0.0,-2.0337,0.0,0.0
doji_breakout,MIXED,26,16,0.615385,-0.009202,0.989373,0.425345
doji_breakout,WEAK,6,5,0.833333,1.195322,5.035145,0.436491
dt_bb_rsi_mr,MIXED,308,143,0.464286,-0.182834,0.686462,0.40937
dt_bb_rsi_mr,WEAK,18,9,0.5,-0.173305,0.672928,0.290307
dt_fib_reversal,MIXED,77,48,0.623377,0.037199,1.060244,0.511726
dt_fib_reversal,WEAK,3,3,1.0,1.325667,inf,0.438494
dt_sr_channel_reversal,MIXED,179,79,0.441341,-0.280071,0.583081,0.370588
dt_sr_channel_reversal,WEAK,15,8,0.533333,-0.095956,0.809782,0.301166
dual_sr_bounce,MIXED,92,50,0.543478,-0.232959,0.731159,0.441996
dual_sr_bounce,WEAK,83,49,0.590361,0.049877,1.077583,0.482856
ema200_trend_reversal,MIXED,66,38,0.575758,-0.164892,0.786649,0.455604
ema200_trend_reversal,WEAK,9,5,0.555556,-0.204945,0.731098,0.266647
ema_cross,MIXED,27,13,0.481481,-0.401046,0.603011,0.30743
ema_cross,WEAK,19,11,0.578947,-0.084902,0.899244,0.362756
gbp_deep_pullback,MIXED,54,32,0.592593,0.135426,1.093315,0.459666
gbp_deep_pullback,WEAK,43,28,0.651163,0.79894,1.550399,0.501715
htf_false_breakout,MIXED,62,38,0.612903,0.130315,1.237945,0.488476
htf_false_breakout,WEAK,3,2,0.666667,1.108733,30.228471,0.207655
inducement_ob,MIXED,10,6,0.6,-0.258688,0.787403,0.31267
inducement_ob,WEAK,5,4,0.8,0.811352,2.351109,0.375528
intraday_seasonality,MIXED,109,60,0.550459,-0.242374,0.725174,0.45694
intraday_seasonality,WEAK,76,45,0.592105,-0.075612,0.904714,0.479783
jpy_basket_trend,MIXED,1,0,0.0,-0.885,0.0,0.0
jpy_basket_trend,WEAK,1,1,1.0,1.4954,inf,0.206543
lin_reg_channel,MIXED,22,14,0.636364,0.029719,1.048122,0.429513
lin_reg_channel,WEAK,6,5,0.833333,0.494874,3.15326,0.436491
liquidity_sweep,MIXED,4,1,0.25,-2.518575,0.191845,0.045586
liquidity_sweep,WEAK,2,1,0.5,1.10675,73.8125,0.094529
london_fix_reversal,MIXED,135,64,0.474074,-0.188061,0.710873,0.39173
london_fix_reversal,WEAK,24,16,0.666667,0.234672,1.503992,0.46706
london_ny_swing,MIXED,9,5,0.555556,-0.213956,0.740943,0.266647
london_ny_swing,WEAK,6,3,0.5,-1.412726,0.315023,0.187613
mqe_gbpusd_fix,MIXED,8,4,0.5,-0.09775,0.831911,0.215213
orb_trap,MIXED,62,29,0.467742,-0.285524,0.670753,0.349086
orb_trap,WEAK,22,16,0.727273,0.20653,1.303715,0.518479
post_news_vol,MIXED,31,17,0.548387,0.096465,1.075312,0.377719
post_news_vol,WEAK,49,37,0.755102,1.103602,2.213672,0.619134
session_time_bias,MIXED,895,525,0.586592,-0.001594,0.99792,0.554026
session_time_bias,WEAK,334,230,0.688623,0.277581,1.429618,0.637053
squeeze_release_momentum,MIXED,16,7,0.4375,-0.457939,0.531859,0.230984
squeeze_release_momentum,WEAK,3,3,1.0,1.2639,inf,0.438494
sr_anti_hunt_bounce,MIXED,50,38,0.76,3.681104,3.807543,0.625871
sr_anti_hunt_bounce,WEAK,27,24,0.888889,4.665196,8.47849,0.719418
sr_break_retest,MIXED,73,37,0.506849,-0.386391,0.564606,0.39472
sr_break_retest,WEAK,37,27,0.72973,0.320386,1.819985,0.570215
sr_fib_confluence,MIXED,417,210,0.503597,-0.211013,0.7241,0.455794
sr_fib_confluence,WEAK,258,170,0.658915,0.179384,1.316343,0.599113
streak_reversal,MIXED,314,217,0.691083,0.809952,2.014471,0.637924
streak_reversal,WEAK,158,117,0.740506,1.177776,2.881372,0.66702
tokyo_range_breakout_up,MIXED,6,2,0.333333,-0.930539,0.226456,0.096769
tokyo_range_breakout_up,WEAK,15,11,0.733333,0.533081,2.246509,0.480491
trendline_sweep,MIXED,128,94,0.734375,0.628305,1.856514,0.651845
trendline_sweep,WEAK,39,31,0.794872,0.652434,1.816112,0.644657
turtle_soup,MIXED,53,30,0.566038,-0.07969,0.912937,0.432651
turtle_soup,WEAK,8,7,0.875,1.929325,7.185221,0.529105
vix_carry_unwind,MIXED,35,20,0.571429,-0.320629,0.800337,0.408571
vix_carry_unwind,WEAK,72,58,0.805556,1.25943,3.153388,0.69967
vol_spike_mr,MIXED,61,27,0.442623,-0.27578,0.644123,0.325076
vol_spike_mr,WEAK,19,12,0.631579,0.085633,1.12719,0.410392
wick_imbalance_reversion,MIXED,84,41,0.488095,-0.239729,0.717809,0.384082
wick_imbalance_reversion,WEAK,17,14,0.823529,0.687379,2.834203,0.589701
xs_momentum,MIXED,258,145,0.562016,-0.142647,0.829718,0.501003
xs_momentum,WEAK,552,355,0.643116,0.145318,1.22173,0.602287
