family_key,pair,tf,direction,rep_cell_id,rep_percentile,rep_horizon,rep_vol_q,n_trades,win_rate,wilson_lower_95,profit_factor,ev_pct,ev_pip,bonferroni_pass,bh_fdr_pass,family_cell_count,bonf_pass_count,bh_pass_count,wilson_lo_mean,wilson_lo_max,ev_pct_mean,n_trades_max,n_trades_min,horizon_coverage,percentile_coverage,vol_q_coverage,tier,tier_reason
EUR_GBP_H1_LONG_SHOCK,EUR_GBP,H1,LONG_SHOCK,EUR_GBP_H1_LONG_SHOCK_1_3_Q5,0.01,3,Q5,239,0.728033,0.668345,14.745018,0.703213,55.813975,1,1,35,28,35,0.595040,0.668345,0.319608,1456,79,4,3,3,Tier 1,"bonf_pass_count>=3, wilson_lo_max>=0.55, n_trades_max>=100"
EUR_AUD_H1_LONG_SHOCK,EUR_AUD,H1,LONG_SHOCK,EUR_AUD_H1_LONG_SHOCK_1_12_Q5,0.01,12,Q5,262,0.675573,0.616701,4.047216,0.378988,58.774046,1,1,28,24,28,0.537472,0.616701,0.176524,1497,59,4,3,4,Tier 1,"bonf_pass_count>=3, wilson_lo_max>=0.55, n_trades_max>=100"
USD_CAD_H1_LONG_SHOCK,USD_CAD,H1,LONG_SHOCK,USD_CAD_H1_LONG_SHOCK_1_3_Q5,0.01,3,Q5,247,0.663968,0.602949,5.298779,0.217218,28.659109,1,1,13,7,13,0.549498,0.602949,0.130928,1453,183,4,3,3,Tier 1,"bonf_pass_count>=3, wilson_lo_max>=0.55, n_trades_max>=100"
NZD_JPY_H1_LONG_SHOCK,NZD_JPY,H1,LONG_SHOCK,NZD_JPY_H1_LONG_SHOCK_1_12_Q5,0.01,12,Q5,303,0.640264,0.584781,5.018653,0.719255,58.884298,1,1,33,21,33,0.533524,0.599331,0.294702,1772,58,4,3,5,Tier 1,"bonf_pass_count>=3, wilson_lo_max>=0.55, n_trades_max>=100"
AUD_JPY_H1_LONG_SHOCK,AUD_JPY,H1,LONG_SHOCK,AUD_JPY_H1_LONG_SHOCK_1_12_ALL,0.01,12,ALL,426,0.638498,0.591825,2.544669,0.363514,32.250373,1,1,29,9,29,0.555397,0.596555,0.199447,1665,87,4,3,4,Tier 1,"bonf_pass_count>=3, wilson_lo_max>=0.55, n_trades_max>=100"
USD_CAD_H1_SHORT_SHOCK,USD_CAD,H1,SHORT_SHOCK,USD_CAD_H1_SHORT_SHOCK_1_1_Q4,0.01,1,Q4,68,0.735294,0.619923,3.395185,0.044638,5.998529,0,1,4,0,4,0.554323,0.619923,0.071611,75,68,3,2,2,Tier 3,"bh_pass_count>=1, wilson_lo_max>=0.50, n_trades_max>=30"
AUD_JPY_H4_LONG_SHOCK,AUD_JPY,H4,LONG_SHOCK,AUD_JPY_H4_LONG_SHOCK_5_6_Q3,0.05,6,Q3,54,0.740741,0.610691,4.350165,0.309864,29.413786,0,1,3,0,3,0.558989,0.610691,0.248950,315,54,2,1,2,Tier 3,"bh_pass_count>=1, wilson_lo_max>=0.50, n_trades_max>=30"
EUR_GBP_H4_LONG_SHOCK,EUR_GBP,H4,LONG_SHOCK,EUR_GBP_H4_LONG_SHOCK_5_6_Q2,0.05,6,Q2,30,0.766667,0.590717,4.275937,0.177219,15.156667,0,1,1,0,1,0.590717,0.590717,0.177219,30,30,1,1,1,Tier 3,"bh_pass_count>=1, wilson_lo_max>=0.50, n_trades_max>=30"
USD_CHF_H4_SHORT_SHOCK,USD_CHF,H4,SHORT_SHOCK,USD_CHF_H4_SHORT_SHOCK_2p5_12_Q4,0.025,12,Q4,48,0.708333,0.568207,2.427728,0.202099,17.375120,0,1,7,0,7,0.535256,0.568207,0.187831,305,48,2,3,2,Tier 3,"bh_pass_count>=1, wilson_lo_max>=0.50, n_trades_max>=30"
USD_CHF_H1_LONG_SHOCK,USD_CHF,H1,LONG_SHOCK,USD_CHF_H1_LONG_SHOCK_5_3_Q2,0.05,3,Q2,216,0.629630,0.563490,1.763322,0.041871,3.737788,0,1,3,0,3,0.538844,0.563490,0.044950,216,140,3,2,2,Tier 3,"bh_pass_count>=1, wilson_lo_max>=0.50, n_trades_max>=30"
