proposal,entry_type,dow_gate,dow_N,dow_WR,dow_EV_pip,dow_PF,dow_Wilson_lo,dow_original_recomputed_N,v2_gate,v2_N,v2_WR,v2_EV_pip,v2_PF,v2_Wilson_lo,v2_shadow_candidate
gbp_deep_pullback__regime_CHOP,gbp_deep_pullback,CHOP,52,0.634615,0.271536,1.16388,0.498714,52,moderate_trend,29,0.586207,0.14811,1.093199,0.407375,False
gbp_deep_pullback__regime_CHOP,gbp_deep_pullback,CHOP,52,0.634615,0.271536,1.16388,0.498714,52,no_go,68,0.632353,0.549591,1.394638,0.513554,True
htf_false_breakout__regime_CHOP,htf_false_breakout,CHOP,38,0.657895,0.321725,1.592118,0.498918,38,moderate_trend,2,1.0,1.9156,inf,0.342372,False
htf_false_breakout__regime_CHOP,htf_false_breakout,CHOP,38,0.657895,0.321725,1.592118,0.498918,38,no_go,63,0.603175,0.120231,1.222327,0.479807,True
post_news_vol__regime_CHOP,post_news_vol,CHOP,39,0.717949,1.145583,2.335231,0.562244,39,moderate_trend,13,0.538462,-0.014029,0.990431,0.291434,False
post_news_vol__regime_CHOP,post_news_vol,CHOP,39,0.717949,1.145583,2.335231,0.562244,39,no_go,67,0.701493,0.854467,1.878004,0.583446,True
session_time_bias__regime_TRENDING,session_time_bias,TRENDING,209,0.665072,0.256521,1.409391,0.598615,209,moderate_trend,202,0.544554,-0.147798,0.829096,0.475683,False
session_time_bias__regime_TRENDING,session_time_bias,TRENDING,209,0.665072,0.256521,1.409391,0.598615,209,no_go,1027,0.628043,0.117956,1.166635,0.598056,True
session_time_bias__regime_RANGING,session_time_bias,RANGING,263,0.608365,0.04172,1.054921,0.548217,263,moderate_trend,202,0.544554,-0.147798,0.829096,0.475683,False
session_time_bias__regime_RANGING,session_time_bias,RANGING,263,0.608365,0.04172,1.054921,0.548217,263,no_go,1027,0.628043,0.117956,1.166635,0.598056,True
session_time_bias__regime_CHOP,session_time_bias,CHOP,757,0.602378,0.035271,1.046767,0.567081,757,moderate_trend,202,0.544554,-0.147798,0.829096,0.475683,False
