EV_pip,Kelly,N,PF,PnL,WR,Wilson_lo,condition,entry_type,wins
0.052076,0.025435,15,1.050078,0.781135,0.533333,0.301166,baseline,adx_trend_continuation,8
-0.324016,-0.194056,8,0.720403,-2.592126,0.5,0.215213,gated_TRENDING,adx_trend_continuation,4
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,adx_trend_continuation,0
0.481894,0.198707,7,1.533125,3.373261,0.571429,0.250454,gated_CHOP,adx_trend_continuation,4
0.0,0.0,0,0.0,0,0.0,0.0,baseline,asia_range_fade_v1,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,asia_range_fade_v1,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,asia_range_fade_v1,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,asia_range_fade_v1,0
-2.0337,0.0,1,0.0,-2.0337,0.0,0.0,baseline,atr_regime_break,0
-2.0337,0.0,1,0.0,-2.0337,0.0,0.0,gated_TRENDING,atr_regime_break,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,atr_regime_break,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,atr_regime_break,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,bb_rsi_ema_aligned,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,bb_rsi_ema_aligned,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,bb_rsi_ema_aligned,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,bb_rsi_ema_aligned,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,bb_rsi_reversion,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,bb_rsi_reversion,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,bb_rsi_reversion,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,bb_rsi_reversion,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,bb_squeeze_breakout,0
