baseline_N,baseline_PF,baseline_PnL,entry_type,gate,gate_N,gate_PF,gate_PnL,reason,verdict
15,1.050078,0.781135,adx_trend_continuation,TRENDING,8,0.720403,-2.592126,pnl_sign_flip,CATASTROPHIC
15,1.050078,0.781135,adx_trend_continuation,RANGING,0,0.0,0,gate_N_lt_30,CATASTROPHIC
15,1.050078,0.781135,adx_trend_continuation,CHOP,7,1.533125,3.373261,gate_N_lt_30,CATASTROPHIC
0,0.0,0,asia_range_fade_v1,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,asia_range_fade_v1,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,asia_range_fade_v1,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
1,0.0,-2.0337,atr_regime_break,TRENDING,1,0.0,-2.0337,baseline_negative_no_edge,CATASTROPHIC
1,0.0,-2.0337,atr_regime_break,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
1,0.0,-2.0337,atr_regime_break,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,bb_rsi_ema_aligned,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,bb_rsi_ema_aligned,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,bb_rsi_ema_aligned,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,bb_rsi_reversion,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,bb_rsi_reversion,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,bb_rsi_reversion,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,bb_squeeze_breakout,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,bb_squeeze_breakout,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,bb_squeeze_breakout,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,cpd_divergence,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,cpd_divergence,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,cpd_divergence,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
32,1.285409,6.932686,doji_breakout,TRENDING,6,0.636175,-2.462843,pnl_sign_flip,CATASTROPHIC
32,1.285409,6.932686,doji_breakout,RANGING,9,1.403121,2.692978,gate_N_lt_30,CATASTROPHIC
32,1.285409,6.932686,doji_breakout,CHOP,17,1.618274,6.702551,gate_N_lt_30,CATASTROPHIC
326,0.685779,-59.432378,dt_bb_rsi_mr,TRENDING,41,0.621039,-10.437739,baseline_negative_no_edge,CATASTROPHIC
326,0.685779,-59.432378,dt_bb_rsi_mr,RANGING,89,0.78238,-10.58791,baseline_negative_no_edge,CATASTROPHIC
326,0.685779,-59.432378,dt_bb_rsi_mr,CHOP,196,0.659954,-38.406729,baseline_negative_no_edge,CATASTROPHIC
80,1.143891,6.841329,dt_fib_reversal,TRENDING,7,1.848729,3.37154,gate_N_lt_30,CATASTROPHIC
80,1.143891,6.841329,dt_fib_reversal,RANGING,28,1.501077,6.647679,gate_N_lt_30,CATASTROPHIC
80,1.143891,6.841329,dt_fib_reversal,CHOP,45,0.89514,-3.17789,pnl_sign_flip,CATASTROPHIC
194,0.596502,-51.57214,dt_sr_channel_reversal,TRENDING,40,0.26888,-24.378807,baseline_negative_no_edge,CATASTROPHIC
194,0.596502,-51.57214,dt_sr_channel_reversal,RANGING,46,1.025111,0.569331,baseline_negative_no_edge,CATASTROPHIC
194,0.596502,-51.57214,dt_sr_channel_reversal,CHOP,108,0.613309,-27.762664,baseline_negative_no_edge,CATASTROPHIC
175,0.870061,-17.292389,dual_sr_bounce,TRENDING,27,0.447325,-16.164314,baseline_negative_no_edge,CATASTROPHIC
175,0.870061,-17.292389,dual_sr_bounce,RANGING,38,0.729269,-8.631175,baseline_negative_no_edge,CATASTROPHIC
175,0.870061,-17.292389,dual_sr_bounce,CHOP,110,1.104279,7.5031,baseline_negative_no_edge,CATASTROPHIC
75,0.780064,-12.727366,ema200_trend_reversal,TRENDING,2,inf,1.7249,baseline_negative_no_edge,CATASTROPHIC
75,0.780064,-12.727366,ema200_trend_reversal,RANGING,35,0.62232,-11.975194,baseline_negative_no_edge,CATASTROPHIC
75,0.780064,-12.727366,ema200_trend_reversal,CHOP,38,0.905316,-2.477072,baseline_negative_no_edge,CATASTROPHIC
46,0.712579,-12.441368,ema_cross,TRENDING,17,1.566033,5.70557,baseline_negative_no_edge,CATASTROPHIC
46,0.712579,-12.441368,ema_cross,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
46,0.712579,-12.441368,ema_cross,CHOP,29,0.45351,-18.146938,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,engulfing_bb,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,engulfing_bb,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,engulfing_bb,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,eurgbp_daily_mr,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,eurgbp_daily_mr,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,eurgbp_daily_mr,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
97,1.295962,41.667383,gbp_deep_pullback,TRENDING,28,1.519477,17.527208,gate_N_lt_30,CATASTROPHIC
97,1.295962,41.667383,gbp_deep_pullback,RANGING,17,1.479757,10.0203,gate_N_lt_30,CATASTROPHIC
97,1.295962,41.667383,gbp_deep_pullback,CHOP,52,1.16388,14.119875,not_catastrophic,NOT_CATASTROPHIC
0,0.0,0,gold_trend_momentum,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,gold_trend_momentum,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
