EV_pip,Kelly,N,PF,WR,Wilson_lo,entry_type,gate,proposal
0.271536,0.089357,52,1.16388,0.634615,0.498714,gbp_deep_pullback,CHOP,gbp_deep_pullback__regime_CHOP
0.321725,0.244675,38,1.592118,0.657895,0.498918,htf_false_breakout,CHOP,htf_false_breakout__regime_CHOP
1.145583,0.410506,39,2.335231,0.717949,0.562244,post_news_vol,CHOP,post_news_vol__regime_CHOP
0.256521,0.193186,209,1.409391,0.665072,0.598615,session_time_bias,TRENDING,session_time_bias__regime_TRENDING
0.04172,0.031672,263,1.054921,0.608365,0.548217,session_time_bias,RANGING,session_time_bias__regime_RANGING
0.035271,0.026913,757,1.046767,0.602378,0.567081,session_time_bias,CHOP,session_time_bias__regime_CHOP
3.915144,0.627374,49,4.320264,0.816327,0.686421,sr_anti_hunt_bounce,CHOP,sr_anti_hunt_bounce__regime_CHOP
1.227411,0.514279,105,3.159914,0.752381,0.661895,streak_reversal,TRENDING,streak_reversal__regime_TRENDING
1.003243,0.423178,94,2.316252,0.744681,0.64814,streak_reversal,RANGING,streak_reversal__regime_RANGING
0.795716,0.338001,273,1.99513,0.677656,0.620079,streak_reversal,CHOP,streak_reversal__regime_CHOP
0.088294,0.05532,53,1.086062,0.698113,0.564629,trendline_sweep,RANGING,trendline_sweep__regime_RANGING
0.762137,0.38782,92,2.070795,0.75,0.65271,trendline_sweep,CHOP,trendline_sweep__regime_CHOP
0.32958,0.203987,31,1.430869,0.677419,0.501407,turtle_soup,CHOP,turtle_soup__regime_CHOP
0.561288,0.239472,51,1.535967,0.686275,0.549727,vix_carry_unwind,TRENDING,vix_carry_unwind__regime_TRENDING
0.954238,0.427046,41,2.208247,0.780488,0.632947,vix_carry_unwind,CHOP,vix_carry_unwind__regime_CHOP
0.163963,0.132638,325,1.258294,0.646154,0.592736,xs_momentum,TRENDING,xs_momentum__regime_TRENDING
0.037077,0.029769,415,1.050705,0.616867,0.569224,xs_momentum,CHOP,xs_momentum__regime_CHOP
