_is_range_tp_override,actual_sl_m,bar_idx,bars_held,entry_time,entry_type,ep,exec_lag_jitter,exit_friction_m,exit_reason,outcome,sig,sl,sl_m,tp,tp_m
False,,200,6,2025-05-09 09:30:00+00:00,sr_fib_confluence,1.12513,0.0,0.067,tp_sl,WIN,BUY,1.12354,1.6408934707903688,1.12676,1.004
False,,208,5,2025-05-09 11:30:00+00:00,session_time_bias,1.12496,0.0,0.065,signal_reverse,LOSS,SELL,1.12721,1.46,1.12227,1.46
False,,215,2,2025-05-09 13:15:00+00:00,session_time_bias,1.12624,0.0,0.0634,signal_reverse,LOSS,SELL,1.12789,0.955,1.12426,0.955
False,1.75,219,1,2025-05-09 14:15:00+00:00,xs_momentum,1.12876,0.0,0.0546,tp_sl,LOSS,BUY,1.12684,1.6739130434782215,1.13073,1.7073913043478322
False,,222,1,2025-05-09 15:00:00+00:00,htf_false_breakout,1.12631,0.0,0.0514,signal_reverse,LOSS,SELL,1.13148,0.668,1.12103,0.668
False,,225,3,2025-05-09 15:45:00+00:00,ema200_trend_reversal,1.1269,0.0,0.0536,signal_reverse,WIN,SELL,1.12894,1.74501424501429,1.12481,0.833
False,,286,1,2025-05-12 07:00:00+00:00,trendline_sweep,1.11583,0.0,0.0492,tp_sl,WIN,SELL,1.12604,7.733585858585722,1.10542,4.733
False,2.0,290,1,2025-05-12 08:00:00+00:00,session_time_bias,1.10919,0.0,0.0349,tp_sl,LOSS,SELL,1.11229,1.6666666666666023,1.10547,1.9999999999999707
False,,293,12,2025-05-12 08:45:00+00:00,htf_false_breakout,1.1137,0.0,0.0335,signal_reverse,LOSS,BUY,1.10444,1.619,1.12316,1.619
False,,307,15,2025-05-12 12:15:00+00:00,lin_reg_channel,1.11027,0.0,0.0392,tp_sl,LOSS,SELL,1.11385,2.158634538152707,1.10661,2.2018072289157744
False,,324,1,2025-05-12 16:30:00+00:00,london_fix_reversal,1.11014,0.0,0.0453,signal_reverse,LOSS,BUY,1.10829,1.286,1.11202,1.286
False,,382,1,2025-05-13 07:00:00+00:00,sr_fib_confluence,1.11071,0.0,0.0722,tp_sl,WIN,BUY,1.10911,1.7870370370371487,1.11236,1.094
False,,385,3,2025-05-13 07:45:00+00:00,session_time_bias,1.11142,0.0,0.0657,tp_sl,WIN,SELL,1.11307,1.6666666666668195,1.10943,1.2
False,,390,3,2025-05-13 09:00:00+00:00,session_time_bias,1.11075,0.0,0.0625,tp_sl,WIN,SELL,1.11248,1.6586538461538238,1.10868,1.194
False,2.15,396,7,2025-05-13 10:30:00+00:00,session_time_bias,1.11028,0.0,0.065,tp_sl,LOSS,SELL,1.11207,1.7916666666666359,1.10813,2.1500000000000963
False,,406,2,2025-05-13 13:00:00+00:00,post_news_vol,1.11381,0.0,0.057,tp_sl,WIN,BUY,1.10946,3.9545454545455234,1.11825,2.42
False,,410,1,2025-05-13 14:00:00+00:00,session_time_bias,1.11313,0.0,0.0536,signal_reverse,LOSS,SELL,1.11508,1.817,1.11079,1.817
False,,413,6,2025-05-13 14:45:00+00:00,xs_momentum,1.11617,0.0,0.0468,tp_sl,WIN,BUY,1.11394,1.6666666666666488,1.11845,1.02
False,,484,1,2025-05-14 08:30:00+00:00,session_time_bias,1.12329,0.0,0.0464,signal_reverse,LOSS,SELL,1.12562,1.121,1.1205,1.121
False,,490,3,2025-05-14 10:00:00+00:00,htf_false_breakout,1.12443,0.0,0.0448,signal_reverse,WIN,SELL,1.12806,2.505747126436812,1.12072,1.159
False,,495,6,2025-05-14 11:15:00+00:00,sr_fib_confluence,1.12211,0.0,0.0464,signal_reverse,LOSS,BUY,1.11997,0.579,1.1243,0.579
False,,503,1,2025-05-14 13:15:00+00:00,sr_fib_confluence,1.12204,0.0,0.0439,signal_reverse,LOSS,SELL,1.12382,0.039,1.12021,0.039
False,,506,2,2025-05-14 14:00:00+00:00,sr_fib_confluence,1.12156,0.0,0.043,tp_sl,WIN,SELL,1.12384,1.5639269406393255,1.11923,0.957
False,,510,2,2025-05-14 15:00:00+00:00,xs_momentum,1.12042,0.0,0.0436,signal_reverse,LOSS,SELL,1.12281,0.115,1.11798,0.115
True,,514,1,2025-05-14 16:00:00+00:00,dt_sr_channel_reversal,1.12067,0.0,0.0515,signal_reverse,LOSS,BUY,1.11956,1.718,1.122,1.718
