_is_range_tp_override,actual_sl_m,bar_idx,bars_held,entry_time,entry_type,ep,exec_lag_jitter,exit_friction_m,exit_reason,outcome,sig,sl,sl_m,tp,tp_m
False,,200,2,2025-05-02 12:30:00+00:00,vix_carry_unwind,144.415,0.0,0.0365,tp_sl,WIN,SELL,144.949,3.0009363295880003,143.774,2.161
False,,204,9,2025-05-02 13:30:00+00:00,vix_carry_unwind,143.859,0.0,0.0276,tp_sl,LOSS,SELL,144.615,3.3296622613802995,142.952,3.9955947136563092
False,,215,1,2025-05-02 16:15:00+00:00,sr_fib_confluence,144.56,0.0,0.0305,signal_reverse,LOSS,SELL,144.898,0.538,144.216,0.538
False,,218,5,2025-05-02 17:00:00+00:00,sr_fib_confluence,144.744,0.0,0.0368,tp_sl,WIN,BUY,144.443,1.5008291873964006,145.052,1.5308457711443342
False,,251,8,2025-05-05 01:30:00+00:00,session_time_bias,144.347,0.0,0.0754,signal_reverse,LOSS,BUY,143.932,0.405,144.804,0.405
False,,266,1,2025-05-05 05:15:00+00:00,session_time_bias,144.083,0.0,0.0599,signal_reverse,WIN,BUY,143.843,1.6608796296296982,144.37,0.582
False,,269,7,2025-05-05 06:00:00+00:00,sr_fib_confluence,144.258,0.0,0.0595,tp_sl,WIN,SELL,144.465,1.425287356321719,144.048,0.872
False,,279,3,2025-05-05 08:30:00+00:00,streak_reversal,144.014,0.0,0.0422,signal_reverse,LOSS,BUY,143.348,1.019,144.694,1.019
False,,284,9,2025-05-05 09:45:00+00:00,sr_break_retest,143.853,0.0,0.0433,tp_sl,WIN,SELL,144.103,1.6722222222222172,143.597,1.023
False,,296,4,2025-05-05 12:45:00+00:00,xs_momentum,143.627,0.0,0.0461,tp_sl,LOSS,SELL,143.862,1.6666666666667636,143.387,1.699999999999994
False,1.952,302,5,2025-05-05 14:15:00+00:00,sr_break_retest,143.665,0.0,0.039,tp_sl,LOSS,SELL,143.932,1.6614906832298912,143.392,1.6947204968944432
False,,309,11,2025-05-05 16:00:00+00:00,xs_momentum,144.102,0.0,0.0399,tp_sl,LOSS,BUY,143.826,1.6418650793651086,144.383,1.6747023809524006
False,2.898,346,2,2025-05-06 01:15:00+00:00,session_time_bias,144.202,0.0,0.0981,tp_sl,LOSS,BUY,143.883,2.4500000000000015,144.553,2.699999999999993
False,,361,3,2025-05-06 05:00:00+00:00,sr_break_retest,143.697,0.0,0.0725,tp_sl,LOSS,SELL,143.876,1.4985994397759805,143.515,1.5285714285715384
False,,366,1,2025-05-06 06:15:00+00:00,streak_reversal,143.857,0.0,0.0784,tp_sl,WIN,SELL,144.369,4.651515151515313,143.335,2.847
False,,370,1,2025-05-06 07:15:00+00:00,vix_carry_unwind,143.425,0.0,0.0478,tp_sl,WIN,SELL,143.876,3.321078431372454,142.883,2.391
False,,373,2,2025-05-06 08:00:00+00:00,vix_carry_unwind,143.09,0.0,0.0419,tp_sl,WIN,SELL,143.553,2.989247311827989,142.534,2.152
False,,377,1,2025-05-06 09:00:00+00:00,htf_false_breakout,143.156,0.0,0.0417,signal_reverse,WIN,BUY,142.716,2.8258547008546815,143.606,0.16
False,2.183,380,5,2025-05-06 09:45:00+00:00,dt_sr_channel_reversal,143.308,0.0,0.0425,tp_sl,LOSS,BUY,143.03,1.8191721132897778,143.592,1.8555555555556662
False,,387,2,2025-05-06 11:30:00+00:00,streak_reversal,142.893,0.0,0.0436,signal_reverse,LOSS,BUY,142.656,0.644,143.136,0.644
False,,391,4,2025-05-06 12:30:00+00:00,xs_momentum,142.601,0.0,0.0419,tp_sl,WIN,SELL,142.859,1.666666666666618,142.337,1.02
False,,398,1,2025-05-06 14:15:00+00:00,dt_sr_channel_reversal,142.787,0.0,0.0361,signal_reverse,WIN,BUY,142.495,1.681034482758562,143.086,0.353
False,,401,11,2025-05-06 15:00:00+00:00,xs_momentum,142.778,0.0,0.0374,tp_sl,WIN,SELL,143.059,1.6716269841269862,142.491,1.023
False,,459,2,2025-05-07 05:30:00+00:00,session_time_bias,143.174,0.0,0.0587,tp_sl,LOSS,BUY,142.929,1.6666666666666976,143.468,2.000000000000076
False,,463,3,2025-05-07 06:30:00+00:00,dual_sr_bounce,142.919,0.0,0.0591,tp_sl,LOSS,SELL,143.223,2.077625570776313,142.61,2.119178082191855
False,,469,9,2025-05-07 08:00:00+00:00,tokyo_range_breakout_up,143.361,0.0,0.0425,tp_sl,LOSS,BUY,143.166,1.2799564270153867,143.561,1.3055555555557057
False,,483,2,2025-05-07 11:30:00+00:00,streak_reversal,143.347,0.0,0.0546,signal_reverse,LOSS,SELL,143.609,0.403,143.079,0.403
False,,487,4,2025-05-07 12:30:00+00:00,ema200_trend_reversal,143.309,0.0,0.0575,tp_sl,WIN,SELL,143.47,1.430678466076904,143.144,1.4592920353983818
False,2.511,495,5,2025-05-07 14:30:00+00:00,orb_trap,143.241,0.0,0.0541,tp_sl,LOSS,SELL,143.507,2.298850574712513,142.969,2.3448275862068217
False,,502,5,2025-05-07 16:15:00+00:00,london_fix_reversal,143.434,0.0,0.0545,tp_sl,WIN,SELL,143.588,1.2533875338753542,143.277,1.2784552845528843
False,3.963,509,1,2025-05-07 18:00:00+00:00,vix_carry_unwind,143.015,0.0,0.0487,tp_sl,LOSS,SELL,143.55,3.5223684210526964,142.409,3.986842105263309
True,,514,1,2025-05-07 19:15:00+00:00,dt_bb_rsi_mr,143.644,0.0,0.0333,tp_sl,LOSS,SELL,143.827,0.8243243243244196,143.424,0.9891891891892522
True,,523,9,2025-05-07 21:30:00+00:00,dt_sr_channel_reversal,143.78,0.0,0.0591,tp_sl,LOSS,SELL,143.913,0.71684587813616,143.62,0.8602150537634226
False,,535,17,2025-05-08 00:30:00+00:00,session_time_bias,143.784,0.0,0.0867,tp_sl,WIN,BUY,143.423,2.4562358276643463,144.182,1.624
False,2.224,554,3,2025-05-08 05:15:00+00:00,vol_spike_mr,143.909,0.0,0.0575,tp_sl,LOSS,SELL,144.204,1.9611111111112223,143.609,2.0003333333333257
